TOKEN	MORPH	SEG_BME	LABEL
yuriyashqatsu	['yuri', 'ya', 'shqa', 'tsu']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'F']	['VInt', 'Pl', 'Prf', 'Neg']
i	['I']	['U']	['CCONJ']
waraschawqa	['Waras', 'chaw', 'qa']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['PROPN', 'Loc', 'Top']
trankilu	['trankilu']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['ADJ']
kakuykaayaanaq	['ka', 'ku', 'ykaa', 'yaa', 'naq']	['D', 'F', 'D', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['AUX', 'Refl/Mid', 'Prog', 'Pl', 'Rpst']
quya-quya	['quya-quya']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
pantyon	['Pantyon']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
laduman	['ladu', 'man']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Dat']
mas	['mas']	['D', 'M', 'F']	['ADV']
yapayaanaq	['yapa', 'yaa', 'naq']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Pl', 'Rpst']
porfin	['Porfin']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
simyentuta	['simyentu', 'ta']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
ushariyaanaq	['usha', 'ri', 'yaa', 'naq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Pct', 'Pl', 'Rpst']
qallaykunaq	['Qalla', 'yku', 'naq']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Intens', 'Rpst']
tikata	['tika', 'ta']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
sutar	['suta', 'r']	['D', 'M', 'M', 'F', 'U']	['VTr', 'Cnv']
tsaypin	['Tsaypin']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
tyempu	['tyempu']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
ishkanllash	['ishka', 'n', 'lla', 'sh']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'F', 'D', 'F']	['N', 'Poss.3', 'Lim', 'Nfh']
kayaanaq	['ka', 'yaa', 'naq']	['D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['AUX', 'Pl', 'Rpst']
albañil	['albañil']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
sutaykuyaanaq	['Suta', 'yku', 'yaa', 'naq']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Intens', 'Pl', 'Rpst']
pitsqa	['pitsqa']	['D', 'M', 'M', 'M', 'M', 'F']	['NUM.Card']
waranqata	['waranqa', 'ta']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['NUM.Card', 'Obj']
tsaychawmi	['Tsay', 'chaw', 'mi']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Loc', 'Asrt']
shumaq	['shumaq']	['D', 'M', 'M', 'M', 'M', 'F']	['ADJ']
pelaykuyaanaq	['pela', 'yku', 'yaa', 'naq']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Intens', 'Pl', 'Rpst']
i	['I']	['U']	['CCONJ']
despwes	['despwes']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
llakishqa	['llaki', 'shqa']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Prf']
aywakunaq	['aywa', 'ku', 'naq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Refl/Mid', 'Rpst']
tyempun	['Tyempu', 'n']	['D', 'M', 'M', 'M', 'M', 'F', 'U']	['N', 'Poss.3']
ganamantsik	['gana', 'mantsik']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'M', 'M', 'M', 'F']	['V', '3.Sbj', '1Pl.Inc.Obj']
ama	['Ama']	['D', 'M', 'F']	['ADV']
fastidyamaytsu	['fastidya', 'ma', 'y', 'tsu']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VTr', '1.Obj', 'Imp.2', 'Neg']
manam	['Mana', 'm']	['D', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
munantsu	['muna', 'n', 'tsu']	['D', 'M', 'M', 'F', 'U', 'D', 'M', 'F']	['VTr', '3', 'Neg']
manaku	['Mana', 'ku']	['D', 'M', 'M', 'F', 'D', 'F']	['ADV', 'Inter']
ullqu	['ullqu']	['D', 'M', 'M', 'M', 'F']	['N']
kanki	['ka', 'nki']	['D', 'F', 'D', 'M', 'F']	['AUX', '2']
waraytaami	['Waray', 'taa', 'mi']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F']	['N', 'Ctrs', 'Asrt']
inlisyata	['inlisya', 'ta']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
qallatsishaq	['qalla', 'tsi', 'shaq']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Caus', 'Fut.1']
asta	['asta']	['D', 'M', 'M', 'F']	['ADP']
ushashqanyaq	['usha', 'shqa', 'n', 'yaq']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Prf', 'Poss.3', 'Ter']
chontachaw	['Chonta', 'chaw']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['PROPN', 'Loc']
masha	['masha']	['D', 'M', 'M', 'M', 'F']	['N']
karqan	['ka', 'rqa', 'n']	['D', 'F', 'D', 'M', 'F', 'U']	['AUX', 'Pst', '3']
tsaypitam	['Tsay', 'pita', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'U']	['PRON', 'Abl', 'Asrt']
unaytaraq	['unay', 'ta', 'raq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['N', 'Obj', 'Inacp']
ashiyaanaq	['ashi', 'yaa', 'naq']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Pl', 'Rpst']
mas	['mas']	['D', 'M', 'F']	['ADV']
huktana	['huk', 'ta', 'na']	['D', 'M', 'F', 'D', 'F', 'D', 'F']	['NUM.Card', 'Obj', 'Acp']
tsaynam	['Tsay', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Acp', 'Asrt']
qallarqan	['qalla', 'rqa', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pst', '3']
ruri	['ruri']	['D', 'M', 'M', 'F']	['N']
retablutaqa	['retablu', 'ta', 'qa']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F']	['N', 'Obj', 'Top']
qam	['Qam']	['D', 'M', 'F']	['PRON.Prs']
awtoridaakunaqa	['awtoridaa', 'kuna', 'qa']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['N', 'Pl', 'Top']
imanaw	['imanaw']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
parlapanaachi	['parla', 'pa', 'na', 'a', 'chi']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VInt', 'Apl', 'Pot', 'Poss.1Sg', 'Conjc']
kakuyanki	['ka', 'ku', 'ya', 'nki']	['D', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F']	['AUX', 'Refl/Mid', 'Pl', '2']
porfin	['Porfin']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
ushaykurqan	['usha', 'yku', 'rqa', 'n']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Intens', 'Pst', '3']
kima	['Kima']	['D', 'M', 'M', 'F']	['NUM.Card']
watam	['wata', 'm']	['D', 'M', 'M', 'F', 'U']	['N', 'Asrt']
ayllukarqan	['ayllu', 'ka', 'rqa', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pass', 'Pst', '3']
qillay	['qillay']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
i	['I']	['U']	['CCONJ']
mayu	['mayu']	['D', 'M', 'M', 'F']	['N']
killa	['killa']	['D', 'M', 'M', 'M', 'F']	['N']
ushariptin	['usha', 'ri', 'pti', 'n']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pct', 'Cnv', 'Poss.3']
qallarqan	['qalla', 'rqa', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pst', '3']
tehata	['teha', 'ta']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
tsaychaw	['Tsay', 'chaw']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['PRON', 'Loc']
kamyon	['kamyon']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
taykurirqan	['tayku', 'ri', 'rqa', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pct', 'Pst', '3']
nunakuna	['Nuna', 'kuna']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Pl']
maakuyaananpaq	['maaku', 'yaa', 'na', 'n', 'paq']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Pl', 'Pot', 'Poss.3', 'Ben']
awtuta	['awtu', 'ta']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
waqatsirqan	['waqa', 'tsi', 'rqa', 'n']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Caus', 'Pst', '3']
hatusaq	['Hatusaq']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['ADJ']
karmi	['ka', 'r', 'mi']	['D', 'F', 'U', 'D', 'F']	['AUX', 'Cnv', 'Asrt']
wallkalla	['wallka', 'lla']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Lim']
tsarirqan	['tsari', 'rqa', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pst', '3']
tsaynam	['Tsay', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Acp', 'Asrt']
aywayarqan	['aywa', 'ya', 'rqa', 'n']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', 'Pst', '3']
kimaq	['kimaq']	['D', 'M', 'M', 'M', 'F']	['NUM.Ptv']
ni	['Ni']	['D', 'F']	['ADV']
tsaypis	['tsay']	['D', 'M', 'M', 'F']	['PRON']
balorayarqaatsu	['balora', 'ya', 'rqa', 'a', 'tsu']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Pl', 'Pst', '1', 'Neg']
kutimunki	['Kuti', 'mu', 'nki']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['VInt', 'Cis', '2']
isqun	['isqun']	['D', 'M', 'M', 'M', 'F']	['NUM.Card']
hunaqta	['hunaq', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
i	['I']	['U']	['CCONJ']
porfin	['porfin']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
albañil	['albañil']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
chaaramun	['chaa', 'ra', 'mu', 'n']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'U']	['VTr', 'Pct', 'Cis', '3']
yesu	['Yesu']	['D', 'M', 'M', 'F']	['N']
kantsu	['ka', 'n', 'tsu']	['D', 'F', 'U', 'D', 'M', 'F']	['AUX', '3', 'Neg']
yesuta	['Yesu', 'ta']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
apayaamuy	['apa', 'yaa', 'mu', 'y']	['D', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Pl', 'Cis', 'Imp.2']
i	['I']	['U']	['CCONJ']
warmiqa	['warmi', 'qa']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Top']
mas	['mas']	['D', 'M', 'F']	['ADV']
waapu	['waapu']	['D', 'M', 'M', 'M', 'F']	['ADJ']
nuqam	['Nuqa', 'm']	['D', 'M', 'M', 'F', 'U']	['PRON.Prs', 'Asrt']
rantimushaq	['ranti', 'mu', 'shaq']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Cis', 'Fut.1']
yesuta	['yesu', 'ta']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
tsaypitanam	['Tsay', 'pita', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Abl', 'Acp', 'Asrt']
tyempuu	['tyempu', 'u']	['D', 'M', 'M', 'M', 'M', 'F', 'U']	['N', 'Poss.1Sg']
kariptin	['ka', 'ri', 'pti', 'n']	['D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['AUX', 'Pct', 'Cnv', 'Poss.3']
aywarqaa	['aywa', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pst', '1']
kallitana	['kalli', 'ta', 'na']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F']	['N', 'Obj', 'Acp']
tsaynam	['Tsay', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Acp', 'Asrt']
padreqa	['padre', 'qa']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Top']
kushishqa	['kushi', 'shqa']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['VInt', 'Prf']
bwenu	['Bwenu']	['D', 'M', 'M', 'M', 'F']	['INTJ']
nirqan	['ni', 'rqa', 'n']	['D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pst', '3']
porfin	['Porfin']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
patsa	['patsa']	['D', 'M', 'M', 'M', 'F']	['N']
kuyur	['kuyu', 'r']	['D', 'M', 'M', 'F', 'U']	['VInt', 'Cnv']
pararirqan	['para', 'ri', 'rqa', 'n']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['V', 'Pct', 'Pst', '3']
tsaynam	['Tsay', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Acp', 'Asrt']
aywarqaa	['aywa', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pst', '1']
plasata	['plasa', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
ni	['Ni']	['D', 'F']	['ADV']
nuqantsikpis	['nuqantsik', 'pis']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['PRON.Prs', 'Coord']
riqintsiktsu	['riqi', 'ntsik', 'tsu']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['VTr', '1Pl.Inc', 'Neg']
kura	['kura']	['D', 'M', 'M', 'F']	['N']
kashqanta	['ka', 'shqa', 'n', 'ta']	['D', 'F', 'D', 'M', 'M', 'F', 'U', 'D', 'F']	['AUX', 'Prf', 'Poss.3', 'Obj']
manam	['Mana', 'm']	['D', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
ni	['ni']	['D', 'F']	['ADV']
maypis	['may']	['D', 'M', 'F']	['PRON']
rikaakurqatsu	['rikaa', 'ku', 'rqa', 'tsu']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Refl/Mid', 'Pst', '3', 'Neg']
tsaynam	['Tsay', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Acp', 'Asrt']
nuqapis	['nuqa', 'pis']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['PRON.Prs', 'Coord']
pasakuu	['pasa', 'ku', 'u']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['VInt', 'Refl/Mid', '1']
rurimanna	['ruri', 'man', 'na']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F']	['N', 'Dat', 'Acp']
kallikunapis	['Kalli', 'kuna', 'pis']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Pl', 'Coord']
rikaakuntsu	['rikaa', 'ku', 'n', 'tsu']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Refl/Mid', '3', 'Neg']
hurqurkarayaamun	['Hurqu', 'rka', 'ra', 'yaa', 'mu', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Edu', 'Pct', 'Pl', 'Cis', '3']
nunakunata	['nuna', 'kuna', 'ta']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['N', 'Pl', 'Obj']
warmikunata	['warmi', 'kuna', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['N', 'Pl', 'Obj']
wamra	['wamra']	['D', 'M', 'M', 'M', 'F']	['N']
aywakuykaqta	['aywa', 'ku', 'yka', 'q', 'ta']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['VTr', 'Refl/Mid', 'Prog', 'Agt', 'Obj']
yamay	['Yamay']	['D', 'M', 'M', 'M', 'F']	['ADV']
kayaanaq	['ka', 'yaa', 'naq']	['D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['AUX', 'Pl', 'Rpst']
tsayran	['Tsayran']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
kushiriyarqaa	['kushi', 'ri', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Pct', 'Pl', 'Pst', '1']
nuqakuna	['Nuqakuna']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['PRON.Prs']
riqiyaami	['riqi', 'ya', 'a', 'mi']	['D', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'F']	['VTr', 'Pl', '1', 'Asrt']
payta	['pay', 'ta']	['D', 'M', 'F', 'D', 'F']	['PRON.Prs', 'Obj']
manam	['Mana', 'm']	['D', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
awtu	['awtu']	['D', 'M', 'M', 'F']	['N']
purinanpaq	['puri', 'na', 'n', 'paq']	['D', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VInt', 'Pot', 'Poss.3', 'Ben']
naanipis	['naani', 'pis']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Coord']
allitsu	['alli', 'tsu']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['ADV', 'Neg']
karqan	['ka', 'rqa', 'n']	['D', 'F', 'D', 'M', 'F', 'U']	['AUX', 'Pst', '3']
i	['I']	['U']	['CCONJ']
markaraaman	['Markaraa', 'man']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['PROPN', 'Dat']
chaariyaa	['chaa', 'ri', 'ya', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'U']	['VTr', 'Pct', 'Pl', '1']
puntata	['punta', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
plasaman	['Plasa', 'man']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Dat']
chaarir	['chaa', 'ri', 'r']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Pct', 'Cnv']
ni	['ni']	['D', 'F']	['ADV']
pita	['pi', 'ta']	['D', 'F', 'D', 'F']	['PRON', 'Obj']
tapukuyta	['tapu', 'ku', 'y', 'ta']	['D', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'F']	['VTr', 'Refl/Mid', 'Inf', 'Obj']
pwediyarqaatsu	['pwedi', 'ya', 'rqa', 'a', 'tsu']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Pl', 'Pst', '1', 'Neg']
tsaynam	['Tsay', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Acp', 'Asrt']
apayaamarqan	['apa', 'yaa', 'ma', 'rqa', 'n']	['D', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', '1.Obj', 'Pst', '3']
asta	['asta']	['D', 'M', 'M', 'F']	['ADP']
shimpikama	['Shimpi', 'kama']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['PROPN', 'Ter']
kasi	['Kasi']	['D', 'M', 'M', 'F']	['ADV']
las	['las']	['D', 'M', 'F']	['DET']
sinkunaw	['sinku', 'naw']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['NUM.Card', 'Equ']
kaykaayaa	['ka', 'ykaa', 'ya', 'a']	['D', 'F', 'D', 'M', 'M', 'F', 'D', 'F', 'U']	['AUX', 'Prog', 'Pl', '1']
