	TOKEN	MORPH	SEG_BME	LABEL
45	kakuykaayaanaq	['ka', 'ku', 'ykaa', 'yaa', 'naq']	['D', 'F', 'D', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['AUX', 'Refl/Mid', 'Prog', 'Pl', 'Rpst']
46	quya-quya	['quya-quya']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
47	pantyon	['Pantyon']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
48	laduman	['ladu', 'man']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Dat']
49	mas	['mas']	['D', 'M', 'F']	['ADV']
50	yapayaanaq	['yapa', 'yaa', 'naq']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Pl', 'Rpst']
51	porfin	['Porfin']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
52	simyentuta	['simyentu', 'ta']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
53	ushariyaanaq	['usha', 'ri', 'yaa', 'naq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Pct', 'Pl', 'Rpst']
54	qallaykunaq	['Qalla', 'yku', 'naq']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Intens', 'Rpst']
55	tikata	['tika', 'ta']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
56	sutar	['suta', 'r']	['D', 'M', 'M', 'F', 'U']	['VTr', 'Cnv']
57	tsaypin	['Tsaypin']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
58	tyempu	['tyempu']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
59	ishkanllash	['ishka', 'n', 'lla', 'sh']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'F', 'D', 'F']	['N', 'Poss.3', 'Lim', 'Nfh']
60	kayaanaq	['ka', 'yaa', 'naq']	['D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['AUX', 'Pl', 'Rpst']
61	albañil	['albañil']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
62	sutaykuyaanaq	['Suta', 'yku', 'yaa', 'naq']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Intens', 'Pl', 'Rpst']
63	pitsqa	['pitsqa']	['D', 'M', 'M', 'M', 'M', 'F']	['NUM.Card']
64	waranqata	['waranqa', 'ta']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['NUM.Card', 'Obj']
65	tsaychawmi	['Tsay', 'chaw', 'mi']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Loc', 'Asrt']
66	shumaq	['shumaq']	['D', 'M', 'M', 'M', 'M', 'F']	['ADJ']
67	pelaykuyaanaq	['pela', 'yku', 'yaa', 'naq']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Intens', 'Pl', 'Rpst']
68	i	['I']	['U']	['CCONJ']
69	despwes	['despwes']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
70	llakishqa	['llaki', 'shqa']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Prf']
71	aywakunaq	['aywa', 'ku', 'naq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Refl/Mid', 'Rpst']
72	tyempun	['Tyempu', 'n']	['D', 'M', 'M', 'M', 'M', 'F', 'U']	['N', 'Poss.3']
73	ganamantsik	['gana', 'mantsik']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'M', 'M', 'M', 'F']	['V', '3.Sbj', '1Pl.Inc.Obj']
74	ama	['Ama']	['D', 'M', 'F']	['ADV']
75	fastidyamaytsu	['fastidya', 'ma', 'y', 'tsu']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VTr', '1.Obj', 'Imp.2', 'Neg']
76	manam	['Mana', 'm']	['D', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
77	munantsu	['muna', 'n', 'tsu']	['D', 'M', 'M', 'F', 'U', 'D', 'M', 'F']	['VTr', '3', 'Neg']
78	manaku	['Mana', 'ku']	['D', 'M', 'M', 'F', 'D', 'F']	['ADV', 'Inter']
79	ullqu	['ullqu']	['D', 'M', 'M', 'M', 'F']	['N']
80	kanki	['ka', 'nki']	['D', 'F', 'D', 'M', 'F']	['AUX', '2']
81	waraytaami	['Waray', 'taa', 'mi']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F']	['N', 'Ctrs', 'Asrt']
82	inlisyata	['inlisya', 'ta']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
83	qallatsishaq	['qalla', 'tsi', 'shaq']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Caus', 'Fut.1']
84	asta	['asta']	['D', 'M', 'M', 'F']	['ADP']
85	ushashqanyaq	['usha', 'shqa', 'n', 'yaq']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Prf', 'Poss.3', 'Ter']
86	chontachaw	['Chonta', 'chaw']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['PROPN', 'Loc']
87	masha	['masha']	['D', 'M', 'M', 'M', 'F']	['N']
88	karqan	['ka', 'rqa', 'n']	['D', 'F', 'D', 'M', 'F', 'U']	['AUX', 'Pst', '3']
89	tsaypitam	['Tsay', 'pita', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'U']	['PRON', 'Abl', 'Asrt']
90	unaytaraq	['unay', 'ta', 'raq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['N', 'Obj', 'Inacp']
91	ashiyaanaq	['ashi', 'yaa', 'naq']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Pl', 'Rpst']
92	mas	['mas']	['D', 'M', 'F']	['ADV']
93	huktana	['huk', 'ta', 'na']	['D', 'M', 'F', 'D', 'F', 'D', 'F']	['NUM.Card', 'Obj', 'Acp']
94	tsaynam	['Tsay', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Acp', 'Asrt']
95	qallarqan	['qalla', 'rqa', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pst', '3']
96	ruri	['ruri']	['D', 'M', 'M', 'F']	['N']
97	retablutaqa	['retablu', 'ta', 'qa']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F']	['N', 'Obj', 'Top']
98	qam	['Qam']	['D', 'M', 'F']	['PRON.Prs']
99	awtoridaakunaqa	['awtoridaa', 'kuna', 'qa']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['N', 'Pl', 'Top']
100	imanaw	['imanaw']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
101	parlapanaachi	['parla', 'pa', 'na', 'a', 'chi']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VInt', 'Apl', 'Pot', 'Poss.1Sg', 'Conjc']
102	kakuyanki	['ka', 'ku', 'ya', 'nki']	['D', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F']	['AUX', 'Refl/Mid', 'Pl', '2']
103	porfin	['Porfin']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
104	ushaykurqan	['usha', 'yku', 'rqa', 'n']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Intens', 'Pst', '3']
105	kima	['Kima']	['D', 'M', 'M', 'F']	['NUM.Card']
106	watam	['wata', 'm']	['D', 'M', 'M', 'F', 'U']	['N', 'Asrt']
107	ayllukarqan	['ayllu', 'ka', 'rqa', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pass', 'Pst', '3']
108	qillay	['qillay']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
109	i	['I']	['U']	['CCONJ']
110	mayu	['mayu']	['D', 'M', 'M', 'F']	['N']
111	killa	['killa']	['D', 'M', 'M', 'M', 'F']	['N']
112	ushariptin	['usha', 'ri', 'pti', 'n']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pct', 'Cnv', 'Poss.3']
113	qallarqan	['qalla', 'rqa', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pst', '3']
114	tehata	['teha', 'ta']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
115	tsaychaw	['Tsay', 'chaw']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['PRON', 'Loc']
116	kamyon	['kamyon']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
117	taykurirqan	['tayku', 'ri', 'rqa', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pct', 'Pst', '3']
118	nunakuna	['Nuna', 'kuna']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Pl']
119	maakuyaananpaq	['maaku', 'yaa', 'na', 'n', 'paq']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Pl', 'Pot', 'Poss.3', 'Ben']
120	awtuta	['awtu', 'ta']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
121	waqatsirqan	['waqa', 'tsi', 'rqa', 'n']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Caus', 'Pst', '3']
122	hatusaq	['Hatusaq']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['ADJ']
123	karmi	['ka', 'r', 'mi']	['D', 'F', 'U', 'D', 'F']	['AUX', 'Cnv', 'Asrt']
124	wallkalla	['wallka', 'lla']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Lim']
125	tsarirqan	['tsari', 'rqa', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pst', '3']
126	tsaynam	['Tsay', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Acp', 'Asrt']
127	aywayarqan	['aywa', 'ya', 'rqa', 'n']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', 'Pst', '3']
128	kimaq	['kimaq']	['D', 'M', 'M', 'M', 'F']	['NUM.Ptv']
129	ni	['Ni']	['D', 'F']	['ADV']
130	tsaypis	['tsay']	['D', 'M', 'M', 'F']	['PRON']
131	balorayarqaatsu	['balora', 'ya', 'rqa', 'a', 'tsu']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Pl', 'Pst', '1', 'Neg']
132	kutimunki	['Kuti', 'mu', 'nki']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['VInt', 'Cis', '2']
133	isqun	['isqun']	['D', 'M', 'M', 'M', 'F']	['NUM.Card']
134	hunaqta	['hunaq', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
135	i	['I']	['U']	['CCONJ']
136	porfin	['porfin']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
137	albañil	['albañil']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
138	chaaramun	['chaa', 'ra', 'mu', 'n']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'U']	['VTr', 'Pct', 'Cis', '3']
139	yesu	['Yesu']	['D', 'M', 'M', 'F']	['N']
140	kantsu	['ka', 'n', 'tsu']	['D', 'F', 'U', 'D', 'M', 'F']	['AUX', '3', 'Neg']
141	yesuta	['Yesu', 'ta']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
142	apayaamuy	['apa', 'yaa', 'mu', 'y']	['D', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Pl', 'Cis', 'Imp.2']
143	i	['I']	['U']	['CCONJ']
144	warmiqa	['warmi', 'qa']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Top']
145	mas	['mas']	['D', 'M', 'F']	['ADV']
146	waapu	['waapu']	['D', 'M', 'M', 'M', 'F']	['ADJ']
147	nuqam	['Nuqa', 'm']	['D', 'M', 'M', 'F', 'U']	['PRON.Prs', 'Asrt']
148	rantimushaq	['ranti', 'mu', 'shaq']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Cis', 'Fut.1']
149	yesuta	['yesu', 'ta']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
150	tsaypitanam	['Tsay', 'pita', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Abl', 'Acp', 'Asrt']
151	tyempuu	['tyempu', 'u']	['D', 'M', 'M', 'M', 'M', 'F', 'U']	['N', 'Poss.1Sg']
152	kariptin	['ka', 'ri', 'pti', 'n']	['D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['AUX', 'Pct', 'Cnv', 'Poss.3']
153	aywarqaa	['aywa', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pst', '1']
154	kallitana	['kalli', 'ta', 'na']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F']	['N', 'Obj', 'Acp']
155	tsaynam	['Tsay', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Acp', 'Asrt']
156	padreqa	['padre', 'qa']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Top']
157	kushishqa	['kushi', 'shqa']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['VInt', 'Prf']
158	bwenu	['Bwenu']	['D', 'M', 'M', 'M', 'F']	['INTJ']
159	nirqan	['ni', 'rqa', 'n']	['D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pst', '3']
160	porfin	['Porfin']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
161	patsa	['patsa']	['D', 'M', 'M', 'M', 'F']	['N']
162	kuyur	['kuyu', 'r']	['D', 'M', 'M', 'F', 'U']	['VInt', 'Cnv']
163	pararirqan	['para', 'ri', 'rqa', 'n']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['V', 'Pct', 'Pst', '3']
164	tsaynam	['Tsay', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Acp', 'Asrt']
165	aywarqaa	['aywa', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pst', '1']
166	plasata	['plasa', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
167	ni	['Ni']	['D', 'F']	['ADV']
168	nuqantsikpis	['nuqantsik', 'pis']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['PRON.Prs', 'Coord']
169	riqintsiktsu	['riqi', 'ntsik', 'tsu']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['VTr', '1Pl.Inc', 'Neg']
170	kura	['kura']	['D', 'M', 'M', 'F']	['N']
171	kashqanta	['ka', 'shqa', 'n', 'ta']	['D', 'F', 'D', 'M', 'M', 'F', 'U', 'D', 'F']	['AUX', 'Prf', 'Poss.3', 'Obj']
172	manam	['Mana', 'm']	['D', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
173	ni	['ni']	['D', 'F']	['ADV']
174	maypis	['may']	['D', 'M', 'F']	['PRON']
175	rikaakurqatsu	['rikaa', 'ku', 'rqa', 'tsu']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Refl/Mid', 'Pst', '3', 'Neg']
176	tsaynam	['Tsay', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Acp', 'Asrt']
177	nuqapis	['nuqa', 'pis']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['PRON.Prs', 'Coord']
178	pasakuu	['pasa', 'ku', 'u']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['VInt', 'Refl/Mid', '1']
179	rurimanna	['ruri', 'man', 'na']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F']	['N', 'Dat', 'Acp']
180	kallikunapis	['Kalli', 'kuna', 'pis']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Pl', 'Coord']
181	rikaakuntsu	['rikaa', 'ku', 'n', 'tsu']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Refl/Mid', '3', 'Neg']
182	hurqurkarayaamun	['Hurqu', 'rka', 'ra', 'yaa', 'mu', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Edu', 'Pct', 'Pl', 'Cis', '3']
183	nunakunata	['nuna', 'kuna', 'ta']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['N', 'Pl', 'Obj']
184	warmikunata	['warmi', 'kuna', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['N', 'Pl', 'Obj']
185	wamra	['wamra']	['D', 'M', 'M', 'M', 'F']	['N']
186	aywakuykaqta	['aywa', 'ku', 'yka', 'q', 'ta']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['VTr', 'Refl/Mid', 'Prog', 'Agt', 'Obj']
187	yamay	['Yamay']	['D', 'M', 'M', 'M', 'F']	['ADV']
188	kayaanaq	['ka', 'yaa', 'naq']	['D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['AUX', 'Pl', 'Rpst']
189	tsayran	['Tsayran']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
190	kushiriyarqaa	['kushi', 'ri', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Pct', 'Pl', 'Pst', '1']
191	nuqakuna	['Nuqakuna']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['PRON.Prs']
192	riqiyaami	['riqi', 'ya', 'a', 'mi']	['D', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'F']	['VTr', 'Pl', '1', 'Asrt']
193	payta	['pay', 'ta']	['D', 'M', 'F', 'D', 'F']	['PRON.Prs', 'Obj']
194	manam	['Mana', 'm']	['D', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
195	awtu	['awtu']	['D', 'M', 'M', 'F']	['N']
196	purinanpaq	['puri', 'na', 'n', 'paq']	['D', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VInt', 'Pot', 'Poss.3', 'Ben']
197	naanipis	['naani', 'pis']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Coord']
198	allitsu	['alli', 'tsu']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['ADV', 'Neg']
199	karqan	['ka', 'rqa', 'n']	['D', 'F', 'D', 'M', 'F', 'U']	['AUX', 'Pst', '3']
200	i	['I']	['U']	['CCONJ']
201	markaraaman	['Markaraa', 'man']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['PROPN', 'Dat']
202	chaariyaa	['chaa', 'ri', 'ya', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'U']	['VTr', 'Pct', 'Pl', '1']
203	puntata	['punta', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
204	plasaman	['Plasa', 'man']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Dat']
205	chaarir	['chaa', 'ri', 'r']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Pct', 'Cnv']
206	ni	['ni']	['D', 'F']	['ADV']
207	pita	['pi', 'ta']	['D', 'F', 'D', 'F']	['PRON', 'Obj']
208	tapukuyta	['tapu', 'ku', 'y', 'ta']	['D', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'F']	['VTr', 'Refl/Mid', 'Inf', 'Obj']
209	pwediyarqaatsu	['pwedi', 'ya', 'rqa', 'a', 'tsu']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Pl', 'Pst', '1', 'Neg']
210	tsaynam	['Tsay', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Acp', 'Asrt']
