TOKEN	MORPH	SEG_BME	LABEL
pikshakunawan	['piksha', 'kuna', 'wan']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Pl', 'Com']
apayaq	['apa', 'ya', 'q']	['D', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Pl', 'Hab']
rumi	['rumi']	['D', 'M', 'M', 'F']	['N']
rumintin	['rumi', 'ntin']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Tot']
qillayniita	['qillay', 'ni', 'i', 'ta']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'F']	['N', 'Poss.1Sg', 'Obj']
españakunapa	['españakuna', 'pa']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Gen']
mulinunkunaman	['mulinu', 'n', 'kuna', 'man']	['D', 'M', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Poss.3', 'Pl', 'Dat']
hornunkunaman	['hornu', 'n', 'kuna', 'man']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Poss.3', 'Pl', 'Dat']
hatun	['hatun']	['D', 'M', 'M', 'M', 'F']	['ADJ']
wayi	['wayi']	['D', 'M', 'M', 'F']	['N']
ingeniu	['ingeniu']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
nishqan	['ni', 'shqa', 'n']	['D', 'F', 'D', 'M', 'M', 'F', 'U']	['VTr', 'Prf', 'Poss.3']
kutakancha	['kutakancha']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['PROPN']
urannin	['uran', 'ni', 'n']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['N', 'Poss.3']
tampu	['Tampu']	['D', 'M', 'M', 'M', 'F']	['PROPN']
mayu	['mayu']	['D', 'M', 'M', 'F']	['N']
kunchunkama	['kunchu', 'n', 'kama']	['D', 'M', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F']	['N', 'Poss.3', 'Ter']
awkinkuna	['Awkin', 'kuna']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Pl']
niyaqta	['ni', 'ya', 'q', 'ta']	['D', 'F', 'D', 'F', 'U', 'D', 'F']	['VTr', 'Pl', 'Agt', 'Obj']
wiyaq	['wiya', 'q']	['D', 'M', 'M', 'F', 'U']	['VTr', 'Hab']
kaami	['ka', 'a', 'mi']	['D', 'F', 'U', 'D', 'F']	['AUX', '1', 'Asrt']
imanaw	['Imanaw']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
kanqanpis	['ka', 'nqa', 'n', 'pis']	['D', 'F', 'D', 'M', 'F', 'U', 'D', 'M', 'F']	['AUX', 'Sub', 'Poss.3', 'Coord']
musyakuynatsu	['musya', 'ku', 'y', 'na', 'tsu']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Refl/Mid', 'Inf', 'Acp', 'Neg']
españakunam	['españakuna', 'm']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'U']	['N', 'Asrt']
banderanta	['bandera', 'n', 'ta']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'U', 'D', 'F']	['N', 'Poss.3', 'Obj']
markaakunaman	['marka', 'akuna', 'man']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Poss.1Pl.Excl', 'Dat']
churarayaamun	['chura', 'ra', 'yaa', 'mu', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Pct', 'Pl', 'Cis', '3']
tsayta	['tsay', 'ta']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON.Dem', 'Obj']
hitakacharkurnam	['hita', 'kacha', 'rku', 'r', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'U', 'D', 'F', 'U']	['VTr', 'Iter', 'Edu', 'Cnv', 'Acp', 'Asrt']
patriotakuna	['patriota', 'kuna']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Pl']
hina	['hina']	['D', 'M', 'M', 'F']	['ADV']
banderanta	['bandera', 'n', 'ta']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'U', 'D', 'F']	['N', 'Poss.3', 'Obj']
hawiyaraamun	['hawi', 'ya', 'raa', 'mu', 'n']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['N', 'Pl', 'Dur', 'Cis', '3']
niykurqa	['ni', 'yku', 'r', 'qa']	['D', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['VTr', 'Intens', 'Cnv', 'Top']
mosu	['mosu']	['D', 'M', 'M', 'F']	['N']
runaakunata	['runa', 'akuna', 'ta']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Poss.1Pl.Excl', 'Obj']
apakuyan	['apa', 'ku', 'ya', 'n']	['D', 'M', 'F', 'D', 'F', 'D', 'F', 'U']	['VTr', 'Refl/Mid', 'Pl', '3']
ejercitunpaq	['ejercitu', 'n', 'paq']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'F']	['N', 'Poss.3', 'Ben']
ishkanpis	['ishka', 'n', 'pis']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'F']	['NUM', 'Poss.3', 'Coord']
limapis	['Lima', 'pis']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['PROPN', 'Coord']
patriotakunapa	['patriota', 'kuna', 'pa']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['N', 'Pl', 'Gen']
makinchawnam	['maki', 'n', 'chaw', 'na', 'm']	['D', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F', 'D', 'F', 'U']	['N', 'Poss.3', 'Loc', 'Acp', 'Asrt']
kuta	['Kuta']	['D', 'M', 'M', 'F']	['PROPN']
kancha	['Kancha']	['D', 'M', 'M', 'M', 'M', 'F']	['PROPN']
uraychawnam	['uray', 'chaw', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F', 'U']	['N', 'Loc', 'Acp', 'Asrt']
churayarqan	['chura', 'ya', 'rqa', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', 'Pst', '3']
planta	['planta']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
concentradora	['concentradora']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
nishqanta	['ni', 'shqa', 'n', 'ta']	['D', 'F', 'D', 'M', 'M', 'F', 'U', 'D', 'F']	['VTr', 'Prf', 'Poss.3', 'Obj']
tampu	['Tampu']	['D', 'M', 'M', 'M', 'F']	['N']
mayupa	['Mayu', 'pa']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Gen']
yakunta	['yaku', 'n', 'ta']	['D', 'M', 'M', 'F', 'U', 'D', 'F']	['N', 'Poss.3', 'Obj']
apaykurnin	['apa', 'yku', 'r', 'ni', 'n']	['D', 'M', 'F', 'D', 'M', 'F', 'U', 'D', 'F', 'U']	['VTr', 'Intens', 'Cnv', 'Poss.3']
isqun	['Isqun']	['D', 'M', 'M', 'M', 'F']	['NUM.Card']
killanaw	['killa', 'naw']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Equ']
huelgawan	['huelga', 'wan']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Com']
llakiriryan	['llaki', 'ri', 'r', 'yan']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Pct', 'Cnv', 'Dist']
mallaqaariryan	['mallaqaa', 'ri', 'r', 'yan']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VInt', 'Pct', 'Cnv', 'Dist']
tsarakuykayaptinmi	['tsara', 'ku', 'yka', 'ya', 'pti', 'n', 'mi']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['VTr', 'Refl/Mid', 'Prog', 'Pl', 'Cnv', 'Poss.3', 'Asrt']
yurikarayaamurqan	['yuri', 'ka', 'ra', 'yaa', 'mu', 'rqa', 'n']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Refl/Mid', 'Pct', 'Pl', 'Cis', 'Pst', '3']
pukaypa	['puka', 'y', 'pa']	['D', 'M', 'M', 'F', 'U', 'D', 'F']	['VInt', 'Inf', 'Man']
pukaq	['puka', 'q']	['D', 'M', 'M', 'F', 'U']	['VInt', 'Agt']
rawraq	['rawra', 'q']	['D', 'M', 'M', 'M', 'F', 'U']	['VInt', 'Agt']
aqtsashqa	['aqtsashqa']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['ADJ']
runakuna	['runa', 'kuna']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Pl']
gringukuna	['gringu', 'kuna']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Pl']
tsaymanpaqqa	['Tsaymanpaq', 'qa']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['ADV', 'Top']
allinawmi	['allinaw', 'mi']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['ADV', 'Asrt']
tsay	['tsay']	['D', 'M', 'M', 'F']	['DET']
gringukuna	['gringu', 'kuna']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Pl']
qallaykuyarqan	['qalla', 'yku', 'ya', 'rqa', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Intens', 'Pl', 'Pst', '3']
dirigentikuna	['dirigenti', 'kuna']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Pl']
maakuqllam	['maaku', 'q', 'lla', 'm']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'F', 'U']	['VTr', 'Agt', 'Lim', 'Asrt']
kaykaashun	['ka', 'ykaa', 'shun']	['D', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['AUX', 'Prog', 'Fut', '1Pl.Inc']
imatapis	['ima', 'ta']	['D', 'M', 'F', 'D', 'F']	['PRON', 'Obj']
hananman	['hana', 'n', 'man']	['D', 'M', 'M', 'F', 'U', 'D', 'M', 'F']	['N', 'Poss.3', 'Dat']
mañakunapaq	['maña', 'ku', 'na', 'paq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Refl/Mid', 'Pot', 'Ben']
niyaqmi	['ni', 'ya', 'q', 'mi']	['D', 'F', 'D', 'F', 'U', 'D', 'F']	['VTr', 'Pl', 'Hab', 'Asrt']
imanawmi	['Imanaw', 'mi']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['ADV', 'Asrt']
tsay	['tsay']	['D', 'M', 'M', 'F']	['DET']
rumikunachaw	['rumi', 'kuna', 'chaw']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Pl', 'Loc']
chipapaykuq	['chipapa', 'yku', 'q']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Intens', 'Hab']
qillaynii	['qillay', 'ni', 'i']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['N', 'Poss.1Sg']
tsaytanam	['Tsay', 'ta', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'U']	['PRON', 'Obj', 'Acp', 'Asrt']
hina	['hina']	['D', 'M', 'M', 'F']	['ADV']
obrerukuna	['obreru', 'kuna']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Pl']
winariyaq	['wina', 'ri', 'ya', 'q']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'U']	['VTr', 'Pct', 'Pl', 'Hab']
taksha	['taksha']	['D', 'M', 'M', 'M', 'M', 'F']	['ADJ']
fierru	['fierru']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
karrukunaman	['karru', 'kuna', 'man']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Pl', 'Dat']
haqmannam	['haq', 'man', 'na', 'm']	['D', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['N', 'Dat', 'Acp', 'Asrt']
raslla	['ras', 'lla']	['D', 'M', 'F', 'D', 'M', 'F']	['ADV', 'Lim']
hurqarayaamuq	['hurqa', 'ra', 'yaa', 'mu', 'q']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Pct', 'Pl', 'Cis', 'Hab']
ichikllallan	['ichikllallan']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
trenpanaw	['tren', 'pa', 'naw']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['N', 'Man', 'Equ']
tsay	['Tsay']	['D', 'M', 'M', 'F']	['DET']
shumaq	['shumaq']	['D', 'M', 'M', 'M', 'M', 'F']	['ADJ']
wayinkunachaw	['wayi', 'n', 'kuna', 'chaw']	['D', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Poss.3', 'Pl', 'Loc']
asikuyaqmi	['asi', 'ku', 'ya', 'q', 'mi']	['D', 'M', 'F', 'D', 'F', 'D', 'F', 'U', 'D', 'F']	['VInt', 'Refl/Mid', 'Pl', 'Hab', 'Asrt']
mandakuqninkuna	['mandakuq', 'ni', 'n', 'kuna']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'M', 'F']	['N', 'Poss.3', 'Pl']
imayka	['imayka']	['D', 'M', 'M', 'M', 'M', 'F']	['PRON']
asikuypaqnaw	['asi', 'ku', 'y', 'paq', 'naw']	['D', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F', 'D', 'M', 'F']	['VInt', 'Refl/Mid', 'Inf', 'Ben', 'Equ']
niyanqan	['ni', 'ya', 'nqa', 'n']	['D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', 'Sub', 'Poss.3']
kanqantanawpis	['ka', 'nqa', 'n', 'ta', 'naw', 'pis']	['D', 'F', 'D', 'M', 'F', 'U', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['AUX', 'Sub', 'Poss.3', 'Obj', 'Equ', 'Coord']
tsaymi	['Tsay', 'mi']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Asrt']
geologu	['geologu']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
nirqan	['ni', 'rqa', 'n']	['D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pst', '3']
patronninkunatapis	['patron', 'ni', 'n', 'kuna', 'ta', 'pis']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['N', 'Poss.3', 'Pl', 'Obj', 'Coord']
obrerukunatapis	['obreru', 'kuna', 'ta', 'pis']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['N', 'Pl', 'Obj', 'Coord']
kay	['Kay']	['D', 'M', 'F']	['DET']
kolki	['Kolki']	['D', 'M', 'M', 'M', 'F']	['PROPN']
hirka	['hirka']	['D', 'M', 'M', 'M', 'F']	['PROPN']
allaapa	['allaapa']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
hatun	['hatun']	['D', 'M', 'M', 'M', 'F']	['ADJ']
hirkam	['hirka', 'm']	['D', 'M', 'M', 'M', 'F', 'U']	['N', 'Asrt']
falla	['falla']	['D', 'M', 'M', 'M', 'F']	['N']
nishqanmi	['ni', 'shqa', 'n', 'mi']	['D', 'F', 'D', 'M', 'M', 'F', 'U', 'D', 'F']	['VTr', 'Prf', 'Poss.3', 'Asrt']
qatsatsishqa	['qatsa', 'tsi', 'shqa']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Fact', 'Prf']
tsaypitanam	['tsay', 'pita', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Abl', 'Acp', 'Asrt']
rara	['rara']	['D', 'M', 'M', 'F']	['N']
rahukunapiq	['rahu', 'kuna', 'piq']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Pl', 'Abl']
rara	['rara']	['D', 'M', 'M', 'F']	['N']
quchakunapiq	['qucha', 'kuna', 'piq']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Pl', 'Abl']
apakuykuna	['apa', 'ku', 'y', 'kuna']	['D', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'M', 'F']	['VTr', 'Refl/Mid', 'Inf', 'Pl']
aluvionkuna	['aluvion', 'kuna']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Pl']
shamushqa	['shamu', 'shqa']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Prf']
tsaymi	['tsay', 'mi']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Asrt']
yapaykuryan	['yapa', 'yku', 'r', 'yan']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Intens', 'Cnv', 'Dist']
mineralta	['mineral', 'ta']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
apakushqa	['apa', 'ku', 'shqa']	['D', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Refl/Mid', 'Prf']
tampu	['Tampu']	['D', 'M', 'M', 'M', 'F']	['PROPN']
uranpa	['ura', 'n', 'pa']	['D', 'M', 'F', 'U', 'D', 'F']	['N', 'Poss.3', 'Prol']
kananqa	['Kanan', 'qa']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['ADV', 'Top']
llapanpis	['llapa', 'n', 'pis']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'F']	['PRON', 'Poss.3', 'Coord']
hamapakuykaayan	['hama', 'pa', 'ku', 'ykaa', 'ya', 'n']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'M', 'F', 'D', 'F', 'U']	['VInt', 'Exc', 'Refl/Mid', 'Prog', 'Pl', '3']
huchusqa	['huchusqa']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['ADJ']
wayikunallachawnam	['wayi', 'kuna', 'lla', 'chaw', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F', 'U']	['N', 'Pl', 'Lim', 'Loc', 'Acp', 'Asrt']
llakikuy	['llaki', 'ku', 'y']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Intens', 'Inf']
kawayta	['kawa', 'y', 'ta']	['D', 'M', 'M', 'F', 'U', 'D', 'F']	['VInt', 'Inf', 'Obj']
yarpakachar	['yarpa', 'kacha', 'r']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'M', 'F', 'U']	['VTr', 'Iter', 'Cnv']
waray	['waray']	['D', 'M', 'M', 'M', 'F']	['N']
waraantin	['waraa', 'ntin']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Tot']
mana	['mana']	['D', 'M', 'M', 'F']	['ADV']
musyakuypaq	['musya', 'ku', 'y', 'paq']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Refl/Mid', 'Inf', 'Ben']
parlar	['parla', 'r']	['D', 'M', 'M', 'M', 'F', 'U']	['VInt', 'Cnv']
punuy	['punuy']	['D', 'M', 'M', 'M', 'F']	['N']
chaamunqanyaq	['chaa', 'mu', 'nqa', 'n', 'yaq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Cis', 'Sub', 'Poss.3', 'Ter']
kananpita	['Kanan', 'pita']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['ADV', 'Abl']
witsaypaqa	['witsay', 'pa', 'qa']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F']	['N', 'Man', 'Top']
nuqam	['nuqa', 'm']	['D', 'M', 'M', 'F', 'U']	['PRON.Prs', 'Asrt']
kay	['kay']	['D', 'M', 'F']	['DET']
markachaw	['marka', 'chaw']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Loc']
pwediq	['pwedi', 'q']	['D', 'M', 'M', 'M', 'F', 'U']	['VTr', 'Agt']
mandakuq	['manda', 'ku', 'q']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['V', 'Refl/Mid', 'Agt']
kaa	['ka', 'a']	['D', 'F', 'U']	['AUX', '1']
nishpa	['ni', 'shpa']	['D', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Grd']
tsaypitanash	['Tsay', 'pita', 'na', 'sh']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F', 'D', 'F']	['PRON', 'Abl', 'Acp', 'Nfh']
wayinman	['wayi', 'n', 'man']	['D', 'M', 'M', 'F', 'U', 'D', 'M', 'F']	['N', 'Poss.3', 'Dat']
aywakunaq	['aywa', 'ku', 'naq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Refl/Mid', 'Rpst']
kastankunapita	['kasta', 'n', 'kuna', 'pita']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Poss.3', 'Pl', 'Abl']
