	idx	tokens	gold_pos	isUppercase	ADJ	ADV	INTJ	N	PROPN	VTr	VInt	V	DET	NUM	PRON	PRON.Dem	PRON.Prs	PRON.Refl	CCONJ	ADP	UNK
32	3	,	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	4	nuqana	PRON.Prs	False	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
34	5	sendirqaa	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
35	6	hatun	ADJ	False	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	7	linternaata	N	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
37	8	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	0	I	CCONJ	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
39	1	manam	ADV	False	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	2	paypita	PRON.Prs	False	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
41	3	ni	ADV	False	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	4	pi	PRON	False	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
43	5	eskapankitsu	VInt	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
44	6	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	7	”	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	0	Las	DET	True	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
47	1	onse	NUM.Card	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
48	2	de	ADP	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
49	3	la	DET	False	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
50	4	mañana	N	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
51	5	misa	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
52	6	de	ADP	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
53	7	fyesta	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
54	8	karqan	AUX	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	9	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	0	Lehyon	N	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
57	1	de	ADP	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
58	2	Mariata	PROPN	True	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
59	3	hundayta	VTr	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
60	4	munarmi	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
61	5	,	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	6	permisuta	N	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
63	7	mañarqaa	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
64	8	señor	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
65	9	obisputa	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
66	10	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	0	Minero	N	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
68	1	runakunawan	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
69	2	parlarirnam	VInt	False	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
70	3	contrato	N	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
71	4	nishqan	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
72	5	papelta	N	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
73	6	qillqariyarqan	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
74	7	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	0	Chaariyaa	VTr	True	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
76	1	kasi	ADV	False	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	2	la	DET	False	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
78	3	una	NUM.Card	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
79	4	de	ADP	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
80	5	la	DET	False	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
81	6	tardinawlla	N	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
82	7	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83	0	Sonsuqa	N	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
84	1	nin	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
85	2	,	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	3	“	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	4	Maytaq	PRON	True	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
88	5	dokumentu	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
89	6	?	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	7	”	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	0	Uusham	N	True	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
92	1	kinraykan	VInt	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
93	2	qiwaman	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
94	0	Tsaynam	PRON	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
95	1	diskulpakurqan	VTr	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
96	2	,	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	3	“	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98	4	Manam	ADV	True	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99	5	ni	ADV	False	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	6	pi	PRON	False	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
101	7	kichayaamarqatsu	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
102	8	,	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	9	”	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	10	niyaptii	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
105	11	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	0	Imanaw	ADV	True	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	1	aykanawpis	ADV	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
108	2	puntata	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
109	3	waqtariyarqaa	VInt	False	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
110	4	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111	0	Yachaywayichawmi	N	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
112	1	wamrakuna	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
113	2	librunkunata	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
114	3	ñawitsaykaayan	N	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
115	0	Tsaychawmi	PRON	True	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
116	1	awtu	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
117	2	pararirqan	V	False	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
118	3	lunchita	N	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
119	4	upuyaanaqpaq	VTr	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
120	5	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
121	0	Ashnum	N	True	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
122	1	tahu	ADJ	False	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123	2	cebadata	N	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
124	3	mikuykan	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
125	0	Tsaynam	PRON	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
126	1	wamraqa	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
127	2	aywar	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
128	3	tesoreruta	N	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
129	4	willaramunaq	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
130	5	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131	0	Treintiuno	NUM.Card	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
132	1	de	ADP	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
133	2	agosto	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
134	3	San	N	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
135	4	Santiago	PROPN	True	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
136	5	Mayor	PROPN	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
137	6	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138	0	Tsayllaman	PRON	True	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
139	1	asistiyaanaq	VInt	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
140	2	qanchis	NUM.Card	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141	3	nuna	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
142	4	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143	0	Tsayshi	PRON	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
144	1	patsa	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
145	2	waraariptin	VInt	False	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
146	3	kuntuta	N	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
147	4	rikaarinaq	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
148	5	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
149	0	I	CCONJ	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
150	1	despwesna	ADV	False	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151	2	padrinu	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
152	3	qatswan	VInt	False	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
153	4	nobyawan	N	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
154	5	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155	0	Iglesya	N	True	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
156	1	parokyal	ADJ	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
157	2	frentinchaw	N	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
158	3	yarpuriyarqaa	VInt	False	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
159	4	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
160	0	Llapaa	PRON	True	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
161	1	Apukunam	N	True	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
162	2	rikaraykayaa	VTr	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
163	3	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164	0	Wamra	N	True	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
165	1	yaykun	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
166	2	yakuman	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
167	3	qunqurinyaq	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
168	0	Waraytaami	N	True	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
169	1	qallatsillaa	V	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
170	2	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
171	0	Porfin	ADV	True	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172	1	chaariyarqaa	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
173	2	Pampa	N	True	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
174	3	de	ADP	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
175	4	Huninman	PROPN	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
176	5	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
177	0	Wawqiimi	N	True	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
178	1	kasamintuman	N	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
179	2	aywashqa	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
180	0	Hiluta	N	True	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
181	1	madihantsikmi	VTr	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
182	2	tiñinapaq	V	False	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
183	3	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
184	0	Nunakunam	N	True	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
185	1	siwada	N	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
186	2	ayllupakuychaw	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
187	3	hurkitawan	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
188	4	pajata	N	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
189	5	tikrayan	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
190	0	Tsaypitanam	PRON	True	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
191	1	Karapu	PROPN	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
192	2	markaqa	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
193	3	quchaman	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
194	4	tikrashqa	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
195	5	kaykan	AUX	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
196	6	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
197	0	“	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
198	1	Aywayashqaatapis	VTr	True	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
199	2	pesakuyaami	V	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
200	3	“	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201	4	,	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
202	5	niyaanaq	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
203	6	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
204	0	Tsaynam	PRON	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
205	1	lus	N	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
206	2	rawraykaptin	VInt	False	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
207	3	,	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
208	4	punkuta	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
209	5	tsaktakurqaa	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
210	6	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
211	0	Tsaynam	PRON	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
212	1	ofisyuta	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
213	2	entregariptii	VTr	False	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
214	3	,	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
215	4	ni	ADV	False	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216	5	sikyera	ADV	False	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
217	6	ni	ADV	False	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
218	7	leyinllapistsu	VTr	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
219	8	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220	0	Manam	ADV	True	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
221	1	watatsarqaraqtsu	N	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
222	2	inawgurakushqan	VTr	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
223	3	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
224	0	Wawqiiqa	N	True	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
225	1	ñuspillaran	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
226	2	kaykan	AUX	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227	0	Qillqashqa	VTr	True	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
228	1	papelninkunata	N	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
229	2	rikaarirmi	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
230	3	,	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
231	4	awtaq	INTJ	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
232	5	niyarqan	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
233	6	dirigentikuna	N	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
234	7	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
235	0	Llapampitam	PRON	True	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
236	1	librarirquntsik	VTr	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
237	2	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
238	0	Tsaynash	PRON	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
239	1	sonsuqa	N	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
240	2	kalyentina	ADJ	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
241	3	kombanta	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
242	4	pallarkur	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
243	5	wiluykurqunaq	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
244	6	matankanchaw	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
245	7	dyablutaqa	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
246	8	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
247	0	Aywaa	VTr	True	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
248	1	uryapukaramushaq	VInt	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
249	2	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
250	0	Imanawpapis	ADV	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
251	1	yaykurqaami	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
252	2	punuyninkunaman	VInt	False	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
253	3	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
254	0	Talbesnash	ADV	True	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
255	1	tapuyan	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
256	2	,	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
257	3	“	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
258	4	María	PROPN	True	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
259	5	Koka	PROPN	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
260	6	,	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
261	7	willamay	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
262	8	:	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
263	9	qishyashaqku	VInt	False	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
264	10	o	CCONJ	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
265	11	yamayllaku	ADV	False	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
266	12	kashaq	AUX	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
267	13	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
268	14	”	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
269	0	Pampa	N	True	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
270	1	de	ADP	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
271	2	Huninman	PROPN	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
272	3	chaariyarqaa	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
273	4	,	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
274	5	tamya	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
275	6	pasarishqa	VInt	False	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
276	7	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
277	0	Veta	N	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
278	1	llanuyanqanmannawmi	ADJ	False	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
279	2	qillayniipis	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
