Manam yuriyashqatsu.	[['mana[ADV]+mi[Asrt]'], ['yuri[VInt]+yaA[Pl]+shqa[Prf](N)+tsu[Neg]']]	[[('Mana', 'mana'), ('m', 'mi')], [('yuri', 'yuri'), ('ya', 'yaA'), ('shqa', 'shqa'), ('tsu', 'tsu')]]
I Waraschawqa trankilu kakuykaayaanaq quya-quya.	[['i[CCONJ]'], ['waras[PROPN]+chaw[Loc]+qa[Top]'], ['trankilu[ADJ]'], ['ka[AUX]+kU[Refl/Mid]+YkaA[Prog]+yaA[Pl]+naq[Rpst]'], ['quya-quya[ADV]']]	[[('I', 'i')], [('Waras', 'waras'), ('chaw', 'chaw'), ('qa', 'qa')], [('trankilu', 'trankilu')], [('ka', 'ka'), ('ku', 'kU'), ('ykaa', 'YkaA'), ('yaa', 'yaA'), ('naq', 'naq')], [('quya-quya', 'quya-quya')]]
Pantyon laduman mas yapayaanaq.	[['pantyon[N]'], ['ladu[N]+man[Dat]'], ['mas[ADV]'], ['yapa[VTr]+yaA[Pl]+naq[Rpst]']]	[[('Pantyon', 'pantyon')], [('ladu', 'ladu'), ('man', 'man')], [('mas', 'mas')], [('yapa', 'yapa'), ('yaa', 'yaA'), ('naq', 'naq')]]
Porfin simyentuta ushariyaanaq.	[['porfin[ADV]'], ['simyentu[N]+ta[Obj]'], ['usha[VTr]+rI[Pct]+yaA[Pl]+naq[Rpst]']]	[[('Porfin', 'porfin')], [('simyentu', 'simyentu'), ('ta', 'ta')], [('usha', 'usha'), ('ri', 'rI'), ('yaa', 'yaA'), ('naq', 'naq')]]
Qallaykunaq tikata sutar.	[['qalla[VTr]+yku[Intens]+naq[Rpst]'], ['tika[N]+ta[Obj]'], ['suta[VTr]+r[Cnv](N)']]	[[('Qalla', 'qalla'), ('yku', 'yku'), ('naq', 'naq')], [('tika', 'tika'), ('ta', 'ta')], [('suta', 'suta'), ('r', 'r')]]
Tsaypin tyempu ishkanllash kayaanaq albañil.	[['tsaypin[ADV]'], ['tyempu[N]'], ['ishka[N]+n[Poss.3]+lla[Lim]+shi[Nfh]'], ['ka[AUX]+yaA[Pl]+naq[Rpst]'], ['albañil[N]']]	[[('Tsaypin', 'tsaypin')], [('tyempu', 'tyempu')], [('ishka', 'ishka'), ('n', 'n'), ('lla', 'lla'), ('sh', 'shi')], [('ka', 'ka'), ('yaa', 'yaA'), ('naq', 'naq')], [('albañil', 'albañil')]]
Sutaykuyaanaq pitsqa waranqata.	[['suta[VTr]+yku[Intens]+yaA[Pl]+naq[Rpst]'], ['pitsqa[NUM.Card]'], ['waranqa[NUM.Card]+ta[Obj]']]	[[('Suta', 'suta'), ('yku', 'yku'), ('yaa', 'yaA'), ('naq', 'naq')], [('pitsqa', 'pitsqa')], [('waranqa', 'waranqa'), ('ta', 'ta')]]
Tsaychawmi shumaq pelaykuyaanaq.	[['tsay[PRON]+chaw[Loc]+mi[Asrt]'], ['shumaq[ADJ]'], ['pela[VTr]+yku[Intens]+yaA[Pl]+naq[Rpst]']]	[[('Tsay', 'tsay'), ('chaw', 'chaw'), ('mi', 'mi')], [('shumaq', 'shumaq')], [('pela', 'pela'), ('yku', 'yku'), ('yaa', 'yaA'), ('naq', 'naq')]]
I despwes llakishqa aywakunaq.	[['i[CCONJ]'], ['despwes[ADV]'], ['llaki[VTr]+shqa[Prf](N)'], ['aywa[VTr]+kU[Refl/Mid]+naq[Rpst]']]	[[('I', 'i')], [('despwes', 'despwes')], [('llaki', 'llaki'), ('shqa', 'shqa')], [('aywa', 'aywa'), ('ku', 'kU'), ('naq', 'naq')]]
Tyempun ganamantsik.	[['tyempu[N]+n[Poss.3]'], ['gana[V]+mantsik[3.Sbj][1Pl.Inc.Obj]']]	[[('Tyempu', 'tyempu'), ('n', 'n')], [('gana', 'gana'), ('mantsik', 'mantsik')]]
Ama fastidyamaytsu.	[['ama[ADV]'], ['fastidya[VTr]+maA[1.Obj]+y[Imp.2]+tsu[Neg]']]	[[('Ama', 'ama')], [('fastidya', 'fastidya'), ('ma', 'maA'), ('y', 'y'), ('tsu', 'tsu')]]
Manam munantsu.	[['mana[ADV]+mi[Asrt]'], ['muna[VTr]+n[3]+tsu[Neg]']]	[[('Mana', 'mana'), ('m', 'mi')], [('muna', 'muna'), ('n', 'n'), ('tsu', 'tsu')]]
Manaku ullqu kanki?	[['mana[ADV]+ku[Inter]'], ['ullqu[N]'], ['ka[AUX]+nki[2]']]	[[('Mana', 'mana'), ('ku', 'ku')], [('ullqu', 'ullqu')], [('ka', 'ka'), ('nki', 'nki')]]
Waraytaami inlisyata qallatsishaq asta ushashqanyaq.	[['waray[N]+taa[Ctrs]+mi[Asrt]'], ['inlisya[N]+ta[Obj]'], ['qalla[VTr]+tsi[Caus]+shaq[Fut.1]'], ['asta[ADP]'], ['usha[VTr]+shqa[Prf](N)+n[Poss.3]+yaq[Ter]']]	[[('Waray', 'waray'), ('taa', 'taa'), ('mi', 'mi')], [('inlisya', 'inlisya'), ('ta', 'ta')], [('qalla', 'qalla'), ('tsi', 'tsi'), ('shaq', 'shaq')], [('asta', 'asta')], [('usha', 'usha'), ('shqa', 'shqa'), ('n', 'n'), ('yaq', 'yaq')]]
Chontachaw masha karqan.	[['chonta[PROPN]+chaw[Loc]'], ['masha[N]'], ['ka[AUX]+rqa[Pst]+n[3]']]	[[('Chonta', 'chonta'), ('chaw', 'chaw')], [('masha', 'masha')], [('ka', 'ka'), ('rqa', 'rqa'), ('n', 'n')]]
Tsaypitam unaytaraq ashiyaanaq mas huktana.	[['tsay[PRON]+pita[Abl]+mi[Asrt]'], ['unay[N]+ta[Obj]+raq[Inacp]'], ['ashi[VTr]+yaA[Pl]+naq[Rpst]'], ['mas[ADV]'], ['huk[NUM.Card]+ta[Obj]+na[Acp]']]	[[('Tsay', 'tsay'), ('pita', 'pita'), ('m', 'mi')], [('unay', 'unay'), ('ta', 'ta'), ('raq', 'raq')], [('ashi', 'ashi'), ('yaa', 'yaA'), ('naq', 'naq')], [('mas', 'mas')], [('huk', 'huk'), ('ta', 'ta'), ('na', 'na')]]
Tsaynam qallarqan ruri retablutaqa.	[['tsay[PRON]+na[Acp]+mi[Asrt]'], ['qalla[VTr]+rqa[Pst]+n[3]'], ['ruri[N]'], ['retablu[N]+ta[Obj]+qa[Top]']]	[[('Tsay', 'tsay'), ('na', 'na'), ('m', 'mi')], [('qalla', 'qalla'), ('rqa', 'rqa'), ('n', 'n')], [('ruri', 'ruri')], [('retablu', 'retablu'), ('ta', 'ta'), ('qa', 'qa')]]
Qam awtoridaakunaqa imanaw parlapanaachi kakuyanki.	[['qam[PRON.Prs]'], ['awtoridaa[N]+kuna[Pl]+qa[Top]'], ['imanaw[ADV]'], ['parla[VInt]+pa[Apl]+na[Pot](N)+ː[Poss.1Sg]+chi[Conjc]'], ['ka[AUX]+kU[Refl/Mid]+yaA[Pl]+nki[2]']]	[[('Qam', 'qam')], [('awtoridaa', 'awtoridaa'), ('kuna', 'kuna'), ('qa', 'qa')], [('imanaw', 'imanaw')], [('parla', 'parla'), ('pa', 'pa'), ('na', 'na'), ('a', 'ː'), ('chi', 'chi')], [('ka', 'ka'), ('ku', 'kU'), ('ya', 'yaA'), ('nki', 'nki')]]
Porfin ushaykurqan.	[['porfin[ADV]'], ['usha[VTr]+yku[Intens]+rqa[Pst]+n[3]']]	[[('Porfin', 'porfin')], [('usha', 'usha'), ('yku', 'yku'), ('rqa', 'rqa'), ('n', 'n')]]
Kima watam ayllukarqan qillay.	[['kima[NUM.Card]'], ['wata[N]+mi[Asrt]'], ['ayllu[VTr]+kaA[Pass]+rqa[Pst]+n[3]'], ['qillay[N]']]	[[('Kima', 'kima')], [('wata', 'wata'), ('m', 'mi')], [('ayllu', 'ayllu'), ('ka', 'kaA'), ('rqa', 'rqa'), ('n', 'n')], [('qillay', 'qillay')]]
I mayu killa ushariptin qallarqan tehata.	[['i[CCONJ]'], ['mayu[N]'], ['killa[N]'], ['usha[VTr]+rI[Pct]+pti[Cnv](N)+n[Poss.3]'], ['qalla[VTr]+rqa[Pst]+n[3]'], ['teha[N]+ta[Obj]']]	[[('I', 'i')], [('mayu', 'mayu')], [('killa', 'killa')], [('usha', 'usha'), ('ri', 'rI'), ('pti', 'pti'), ('n', 'n')], [('qalla', 'qalla'), ('rqa', 'rqa'), ('n', 'n')], [('teha', 'teha'), ('ta', 'ta')]]
Tsaychaw kamyon taykurirqan.	[['tsay[PRON]+chaw[Loc]'], ['kamyon[N]'], ['tayku[VTr]+rI[Pct]+rqa[Pst]+n[3]']]	[[('Tsay', 'tsay'), ('chaw', 'chaw')], [('kamyon', 'kamyon')], [('tayku', 'tayku'), ('ri', 'rI'), ('rqa', 'rqa'), ('n', 'n')]]
Nunakuna maakuyaananpaq, awtuta waqatsirqan.	[['nuna[N]+kuna[Pl]'], ['maaku[VTr]+yaA[Pl]+na[Pot](N)+n[Poss.3]+paq[Ben]'], ['awtu[N]+ta[Obj]'], ['waqa[VTr]+tsi[Caus]+rqa[Pst]+n[3]']]	[[('Nuna', 'nuna'), ('kuna', 'kuna')], [('maaku', 'maaku'), ('yaa', 'yaA'), ('na', 'na'), ('n', 'n'), ('paq', 'paq')], [('awtu', 'awtu'), ('ta', 'ta')], [('waqa', 'waqa'), ('tsi', 'tsi'), ('rqa', 'rqa'), ('n', 'n')]]
Hatusaq karmi wallkalla tsarirqan.	[['hatusaq[ADJ]'], ['ka[AUX]+r[Cnv](N)+mi[Asrt]'], ['wallka[N]+lla[Lim]'], ['tsari[VTr]+rqa[Pst]+n[3]']]	[[('Hatusaq', 'hatusaq')], [('ka', 'ka'), ('r', 'r'), ('mi', 'mi')], [('wallka', 'wallka'), ('lla', 'lla')], [('tsari', 'tsari'), ('rqa', 'rqa'), ('n', 'n')]]
Tsaynam aywayarqan kimaq.	[['tsay[PRON]+na[Acp]+mi[Asrt]'], ['aywa[VTr]+yaA[Pl]+rqa[Pst]+n[3]'], ['kimaq[NUM.Ptv]']]	[[('Tsay', 'tsay'), ('na', 'na'), ('m', 'mi')], [('aywa', 'aywa'), ('ya', 'yaA'), ('rqa', 'rqa'), ('n', 'n')], [('kimaq', 'kimaq')]]
Ni tsaypis balorayarqaatsu.	[['ni[ADV]'], ['tsay[PRON]+pis(Pron.Indef)'], ['balora[VTr]+yaA[Pl]+rqa[Pst]+ː[1]+tsu[Neg]']]	[[('Ni', 'ni')], [('tsay', 'tsay')], [('balora', 'balora'), ('ya', 'yaA'), ('rqa', 'rqa'), ('a', 'ː'), ('tsu', 'tsu')]]
Kutimunki isqun hunaqta.”	[['kuti[VInt]+mu[Cis]+nki[2]'], ['isqun[NUM.Card]'], ['hunaq[N]+ta[Obj]']]	[[('Kuti', 'kuti'), ('mu', 'mu'), ('nki', 'nki')], [('isqun', 'isqun')], [('hunaq', 'hunaq'), ('ta', 'ta')]]
I porfin albañil chaaramun.	[['i[CCONJ]'], ['porfin[ADV]'], ['albañil[N]'], ['chaa[VTr]+rI[Pct]+mu[Cis]+n[3]']]	[[('I', 'i')], [('porfin', 'porfin')], [('albañil', 'albañil')], [('chaa', 'chaa'), ('ra', 'rI'), ('mu', 'mu'), ('n', 'n')]]
Yesu kantsu.	[['yesu[N]'], ['ka[AUX]+n[3]+tsu[Neg]']]	[[('Yesu', 'yesu')], [('ka', 'ka'), ('n', 'n'), ('tsu', 'tsu')]]
Yesuta apayaamuy.	[['yesu[N]+ta[Obj]'], ['apa[VTr]+yaA[Pl]+mu[Cis]+y[Imp.2]']]	[[('Yesu', 'yesu'), ('ta', 'ta')], [('apa', 'apa'), ('yaa', 'yaA'), ('mu', 'mu'), ('y', 'y')]]
I warmiqa mas waapu.	[['i[CCONJ]'], ['warmi[N]+qa[Top]'], ['mas[ADV]'], ['waapu[ADJ]']]	[[('I', 'i')], [('warmi', 'warmi'), ('qa', 'qa')], [('mas', 'mas')], [('waapu', 'waapu')]]
Nuqam rantimushaq yesuta.	[['nuqa[PRON.Prs]+mi[Asrt]'], ['ranti[VTr]+mu[Cis]+shaq[Fut.1]'], ['yesu[N]+ta[Obj]']]	[[('Nuqa', 'nuqa'), ('m', 'mi')], [('ranti', 'ranti'), ('mu', 'mu'), ('shaq', 'shaq')], [('yesu', 'yesu'), ('ta', 'ta')]]
Tsaypitanam tyempuu kariptin aywarqaa kallitana.	[['tsay[PRON]+pita[Abl]+na[Acp]+mi[Asrt]'], ['tyempu[N]+ː[Poss.1Sg]'], ['ka[AUX]+rI[Pct]+pti[Cnv](N)+n[Poss.3]'], ['aywa[VTr]+rqa[Pst]+ː[1]'], ['kalli[N]+ta[Obj]+na[Acp]']]	[[('Tsay', 'tsay'), ('pita', 'pita'), ('na', 'na'), ('m', 'mi')], [('tyempu', 'tyempu'), ('u', 'ː')], [('ka', 'ka'), ('ri', 'rI'), ('pti', 'pti'), ('n', 'n')], [('aywa', 'aywa'), ('rqa', 'rqa'), ('a', 'ː')], [('kalli', 'kalli'), ('ta', 'ta'), ('na', 'na')]]
Tsaynam padreqa kushishqa, “Bwenu,” nirqan.	[['tsay[PRON]+na[Acp]+mi[Asrt]'], ['padre[N]+qa[Top]'], ['kushi[VInt]+shqa[Prf](N)'], ['bwenu[INTJ]'], ['ni[VTr]+rqa[Pst]+n[3]']]	[[('Tsay', 'tsay'), ('na', 'na'), ('m', 'mi')], [('padre', 'padre'), ('qa', 'qa')], [('kushi', 'kushi'), ('shqa', 'shqa')], [('Bwenu', 'bwenu')], [('ni', 'ni'), ('rqa', 'rqa'), ('n', 'n')]]
Porfin patsa kuyur pararirqan.	[['porfin[ADV]'], ['patsa[N]'], ['kuyu[VInt]+r[Cnv](N)'], ['para[V]+rI[Pct]+rqa[Pst]+n[3]']]	[[('Porfin', 'porfin')], [('patsa', 'patsa')], [('kuyu', 'kuyu'), ('r', 'r')], [('para', 'para'), ('ri', 'rI'), ('rqa', 'rqa'), ('n', 'n')]]
Tsaynam aywarqaa plasata.	[['tsay[PRON]+na[Acp]+mi[Asrt]'], ['aywa[VTr]+rqa[Pst]+ː[1]'], ['plasa[N]+ta[Obj]']]	[[('Tsay', 'tsay'), ('na', 'na'), ('m', 'mi')], [('aywa', 'aywa'), ('rqa', 'rqa'), ('a', 'ː')], [('plasa', 'plasa'), ('ta', 'ta')]]
Ni nuqantsikpis riqintsiktsu kura kashqanta.”	[['ni[ADV]'], ['nuqantsik[PRON.Prs]+pis[Coord]'], ['riqi[VTr]+ntsik[1Pl.Inc]+tsu[Neg]'], ['kura[N]'], ['ka[AUX]+shqa[Prf](N)+n[Poss.3]+ta[Obj]']]	[[('Ni', 'ni')], [('nuqantsik', 'nuqantsik'), ('pis', 'pis')], [('riqi', 'riqi'), ('ntsik', 'ntsik'), ('tsu', 'tsu')], [('kura', 'kura')], [('ka', 'ka'), ('shqa', 'shqa'), ('n', 'n'), ('ta', 'ta')]]
Manam ni maypis rikaakurqatsu.	[['mana[ADV]+mi[Asrt]'], ['ni[ADV]'], ['may[PRON]+pis(Pron.Indef)'], ['rikaa[VTr]+kU[Refl/Mid]+rqa[Pst][3]+tsu[Neg]']]	[[('Mana', 'mana'), ('m', 'mi')], [('ni', 'ni')], [('may', 'may')], [('rikaa', 'rikaa'), ('ku', 'kU'), ('rqa', 'rqa'), ('tsu', 'tsu')]]
Tsaynam nuqapis pasakuu rurimanna.	[['tsay[PRON]+na[Acp]+mi[Asrt]'], ['nuqa[PRON.Prs]+pis[Coord]'], ['pasa[VInt]+kU[Refl/Mid]+ː[1]'], ['ruri[N]+man[Dat]+na[Acp]']]	[[('Tsay', 'tsay'), ('na', 'na'), ('m', 'mi')], [('nuqa', 'nuqa'), ('pis', 'pis')], [('pasa', 'pasa'), ('ku', 'kU'), ('u', 'ː')], [('ruri', 'ruri'), ('man', 'man'), ('na', 'na')]]
Kallikunapis rikaakuntsu.	[['kalli[N]+kuna[Pl]+pis[Coord]'], ['rikaa[VTr]+kU[Refl/Mid]+n[3]+tsu[Neg]']]	[[('Kalli', 'kalli'), ('kuna', 'kuna'), ('pis', 'pis')], [('rikaa', 'rikaa'), ('ku', 'kU'), ('n', 'n'), ('tsu', 'tsu')]]
Hurqurkarayaamun nunakunata, warmikunata, wamra aywakuykaqta.	[['hurqu[VTr]+rkU[Edu]+rI[Pct]+yaA[Pl]+mu[Cis]+n[3]'], ['nuna[N]+kuna[Pl]+ta[Obj]'], ['warmi[N]+kuna[Pl]+ta[Obj]'], ['wamra[N]'], ['aywa[VTr]+kU[Refl/Mid]+YkaA[Prog]+q[Agt]+ta[Obj]']]	[[('Hurqu', 'hurqu'), ('rka', 'rkU'), ('ra', 'rI'), ('yaa', 'yaA'), ('mu', 'mu'), ('n', 'n')], [('nuna', 'nuna'), ('kuna', 'kuna'), ('ta', 'ta')], [('warmi', 'warmi'), ('kuna', 'kuna'), ('ta', 'ta')], [('wamra', 'wamra')], [('aywa', 'aywa'), ('ku', 'kU'), ('yka', 'YkaA'), ('q', 'q'), ('ta', 'ta')]]
Yamay kayaanaq.	[['yamay[ADV]'], ['ka[AUX]+yaA[Pl]+naq[Rpst]']]	[[('Yamay', 'yamay')], [('ka', 'ka'), ('yaa', 'yaA'), ('naq', 'naq')]]
Tsayran kushiriyarqaa.	[['tsayran[ADV]'], ['kushi[VInt]+rI[Pct]+yaA[Pl]+rqa[Pst]+ː[1]']]	[[('Tsayran', 'tsayran')], [('kushi', 'kushi'), ('ri', 'rI'), ('ya', 'yaA'), ('rqa', 'rqa'), ('a', 'ː')]]
Nuqakuna riqiyaami payta.	[['nuqakuna[PRON.Prs]'], ['riqi[VTr]+yaA[Pl]+ː[1]+mi[Asrt]'], ['pay[PRON.Prs]+ta[Obj]']]	[[('Nuqakuna', 'nuqakuna')], [('riqi', 'riqi'), ('ya', 'yaA'), ('a', 'ː'), ('mi', 'mi')], [('pay', 'pay'), ('ta', 'ta')]]
Manam awtu purinanpaq naanipis allitsu karqan.	[['mana[ADV]+mi[Asrt]'], ['awtu[N]'], ['puri[VInt]+na[Pot](N)+n[Poss.3]+paq[Ben]'], ['naani[N]+pis[Coord]'], ['alli[ADV]+tsu[Neg]'], ['ka[AUX]+rqa[Pst]+n[3]']]	[[('Mana', 'mana'), ('m', 'mi')], [('awtu', 'awtu')], [('puri', 'puri'), ('na', 'na'), ('n', 'n'), ('paq', 'paq')], [('naani', 'naani'), ('pis', 'pis')], [('alli', 'alli'), ('tsu', 'tsu')], [('ka', 'ka'), ('rqa', 'rqa'), ('n', 'n')]]
I Markaraaman chaariyaa puntata.	[['i[CCONJ]'], ['markaraa[PROPN]+man[Dat]'], ['chaa[VTr]+rI[Pct]+yaA[Pl]+ː[1]'], ['punta[N]+ta[Obj]']]	[[('I', 'i')], [('Markaraa', 'markaraa'), ('man', 'man')], [('chaa', 'chaa'), ('ri', 'rI'), ('ya', 'yaA'), ('a', 'ː')], [('punta', 'punta'), ('ta', 'ta')]]
Plasaman chaarir ni pita tapukuyta pwediyarqaatsu.	[['plasa[N]+man[Dat]'], ['chaa[VTr]+rI[Pct]+r[Cnv](N)'], ['ni[ADV]'], ['pi[PRON]+ta[Obj]'], ['tapu[VTr]+kU[Refl/Mid]+y[Inf]+ta[Obj]'], ['pwedi[VTr]+yaA[Pl]+rqa[Pst]+ː[1]+tsu[Neg]']]	[[('Plasa', 'plasa'), ('man', 'man')], [('chaa', 'chaa'), ('ri', 'rI'), ('r', 'r')], [('ni', 'ni')], [('pi', 'pi'), ('ta', 'ta')], [('tapu', 'tapu'), ('ku', 'kU'), ('y', 'y'), ('ta', 'ta')], [('pwedi', 'pwedi'), ('ya', 'yaA'), ('rqa', 'rqa'), ('a', 'ː'), ('tsu', 'tsu')]]
Tsaynam apayaamarqan asta Shimpikama.	[['tsay[PRON]+na[Acp]+mi[Asrt]'], ['apa[VTr]+yaA[Pl]+maA[1.Obj]+rqa[Pst]+n[3]'], ['asta[ADP]'], ['shimpi[PROPN]+kama[Ter]']]	[[('Tsay', 'tsay'), ('na', 'na'), ('m', 'mi')], [('apa', 'apa'), ('yaa', 'yaA'), ('ma', 'maA'), ('rqa', 'rqa'), ('n', 'n')], [('asta', 'asta')], [('Shimpi', 'shimpi'), ('kama', 'kama')]]
Kasi las sinkunaw kaykaayaa Uchuyakuchaw.	[['kasi[ADV]'], ['las[DET]'], ['sinku[NUM.Card]+naw[Equ]'], ['ka[AUX]+YkaA[Prog]+yaA[Pl]+ː[1]'], ['uchuyaku[PROPN]+chaw[Loc]']]	[[('Kasi', 'kasi')], [('las', 'las')], [('sinku', 'sinku'), ('naw', 'naw')], [('ka', 'ka'), ('ykaa', 'YkaA'), ('ya', 'yaA'), ('a', 'ː')], [('Uchuyaku', 'uchuyaku'), ('chaw', 'chaw')]]
Tardi las tresnawmi chaarii wayiiman.	[['tardi[N]'], ['las[DET]'], ['tres[NUM.Card]+naw[Equ]+mi[Asrt]'], ['chaa[VTr]+rI[Pct]+ː[1]'], ['wayi[N]+ː[Poss.1Sg]+man[Dat]']]	[[('Tardi', 'tardi')], [('las', 'las')], [('tres', 'tres'), ('naw', 'naw'), ('mi', 'mi')], [('chaa', 'chaa'), ('ri', 'rI'), ('i', 'ː')], [('wayi', 'wayi'), ('i', 'ː'), ('man', 'man')]]
Tsaymi ni pi familyaqa yurimurqatsu.	[['tsay[PRON]+mi[Asrt]'], ['ni[ADV]'], ['pi[PRON]'], ['familya[N]+qa[Top]'], ['yuri[VInt]+mu[Cis]+rqa[Pst][3]+tsu[Neg]']]	[[('Tsay', 'tsay'), ('mi', 'mi')], [('ni', 'ni')], [('pi', 'pi')], [('familya', 'familya'), ('qa', 'qa')], [('yuri', 'yuri'), ('mu', 'mu'), ('rqa', 'rqa'), ('tsu', 'tsu')]]
Nuqaqa wayi rurayllawanqa allibwenum kaa.”	[['nuqa[PRON.Prs]+qa[Top]'], ['wayi[N]'], ['rura[VTr]+y[Inf]+lla[Lim]+wan[Com]+qa[Top]'], ['allibwenu[ADV]+mi[Asrt]'], ['ka[AUX]+ː[1]']]	[[('Nuqa', 'nuqa'), ('qa', 'qa')], [('wayi', 'wayi')], [('rura', 'rura'), ('y', 'y'), ('lla', 'lla'), ('wan', 'wan'), ('qa', 'qa')], [('allibwenu', 'allibwenu'), ('m', 'mi')], [('ka', 'ka'), ('a', 'ː')]]
