Imanawmi tsay rumikunachaw chipapaykuq qillaynii.	Cómo brillaba mi plata en esas piedras.	AKH-303	[['imanaw[ADV]+mi[Asrt]'], ['tsay[DET]'], ['rumi[N]+kuna[Pl]+chaw[Loc]'], ['chipapa[VInt]+yku[Intens]+q[Hab]'], ['qillay[N]+ː[Poss.1Sg]']]	[[('Imanaw', 'imanaw'), ('mi', 'mi')], [('tsay', 'tsay')], [('rumi', 'rumi'), ('kuna', 'kuna'), ('chaw', 'chaw')], [('chipapa', 'chipapa'), ('yku', 'yku'), ('q', 'q')], [('qillay', 'qillay'), ('ni', 0), ('i', 'ː')]]	[['imanaw[ADV]+mi[Asrt]'], ['tsay[DET]', 'tsay[PRON]'], ['rumi[N]+kuna[Pl]+chaw[Loc]'], ['chipa[V]+paA[Exc]+yku[Intens]+q[Agt]', 'chipa[V]+paA[Exc]+yku[Intens]+q[Hab]', 'chipa[V]+paA[Exc]+yku[Intens]+q[1.Sbj][2.Obj]'], ['qillay[N]+ː[Poss.1Sg]']]
Tsaytanam hina obrerukuna winariyaq taksha fierru karrukunaman; haqmannam raslla hurqarayaamuq ichikllallan trenpanaw.	Los obreros llenaban rápido esos trozos en pequeños carros de fierro que con un pequeño tren sacaba por unos rieles fuera de la mina; allí otra máquina, como si jugara nomás, lo cargaba en enormes volquetes, los que yendo y viniendo rápido llevaban el mineral a la concentradora.	AKH-304	[['tsay[PRON]+ta[Obj]+na[Acp]+mi[Asrt]'], ['hina[ADV]'], ['obreru[N]+kuna[Pl]'], ['wina[VTr]+rI[Pct]+yaA[VPl]+q[Hab]'], ['taksha[ADJ]'], ['fierru[N]'], ['karru[N]+kuna[Pl]+man[Dat]'], ['haq[N]+man[Dat]+na[Acp]+mi[Asrt]'], ['ras[ADV]+lla[Lim]'], ['hurqa[VTr]+rI[Pct]+yaA[VPl]+mu[Cis]+q[Hab]'], ['ichikllallan[ADV]'], ['tren[N]+pa[Man]+naw[Equ]']]	[[('Tsay', 'tsay'), ('ta', 'ta'), ('na', 'na'), ('m', 'mi')], [('hina', 'hina')], [('obreru', 'obreru'), ('kuna', 'kuna')], [('wina', 'wina'), ('ri', 'rI'), ('ya', 'yaA'), ('q', 'q')], [('taksha', 'taksha')], [('fierru', 'fierru')], [('karru', 'karru'), ('kuna', 'kuna'), ('man', 'man')], [('haq', 'haq'), ('man', 'man'), ('na', 'na'), ('m', 'mi')], [('ras', 'ras'), ('lla', 'lla')], [('hurqa', 'hurqa'), ('ra', 'rI'), ('yaa', 'yaA'), ('mu', 'mu'), ('q', 'q')], [('ichikllallan', 'ichikllallan')], [('tren', 'tren'), ('pa', 'pa'), ('naw', 'naw')]]	[['tsay[PRON]+ta[Obj]+na[Acp]+mi[Asrt]', 'tsay[PRON.Dem]+ta[Obj]+na[Acp]+mi[Asrt]'], ['hina[ADV]', 'hina[N]'], ['obreru[N]+kuna[Pl]'], ['wina[VInt]+rI[Pct]+yaA[VPl]+q[1.Sbj][2.Obj]', 'wina[VTr]+rI[Pct]+yaA[VPl]+q[1.Sbj][2.Obj]', 'wina[VInt]+rI[Pct]+yaA[VPl]+q[Hab]', 'wina[VTr]+rI[Pct]+yaA[VPl]+q[Hab]', 'wina[VTr]+rI[Pct]+yaA[VPl]+q[Agt]', 'wina[VInt]+rI[Pct]+yaA[VPl]+q[Agt]'], ['taksha[ADJ]'], ['fierru[UNK]'], ['karru[N]+kuna[Pl]+man[Dat]'], ['haq[N]+man[Dat]+na[Acp]+mi[Asrt]'], ['ras[ADV]+lla[Lim]'], ['hurqa[VTr]+rI[Pct]+yaA[VPl]+mu[Cis]+q[Hab]'], ['ichikllallan[UNK]'], ['trenpanaw[UNK]']]
Tsay shumaq wayinkunachaw, asikuyaqmi mandakuqninkuna, imayka asikuypaqnaw niyanqan kanqantanawpis.	Pero sus jefes se rieron en sus oficinas lujosos como si fuera gracia las advertencias.	AKH-345	[['tsay[DET]'], ['shumaq[ADJ]'], ['wayi[N]+n[Poss.3]+kuna[Pl]+chaw[Loc]'], ['asi[VInt]+kU[Refl/Mid]+yaA[VPl]+q[Hab]+mi[Asrt]'], ['mandakuq[N]+n[Poss.3]+kuna[Pl]'], ['imayka[PRON]'], ['asi[VInt]+kU[Refl/Mid]+y[Inf]+paq[Ben]+naw[Equ]'], ['ni[VTr]+yaA[VPl]+nqa[Sub](N)+n[Poss.3]'], ['ka[AUX]+nqa[Sub](N)+n[Poss.3]+ta[Obj]+naw[Equ]+pis[Coord]']]	[[('Tsay', 'tsay')], [('shumaq', 'shumaq')], [('wayi', 'wayi'), ('n', 'n'), ('kuna', 'kuna'), ('chaw', 'chaw')], [('asi', 'asi'), ('ku', 'kU'), ('ya', 'yaA'), ('q', 'q'), ('mi', 'mi')], [('mandakuq', 'mandakuq'), ('ni', 0), ('n', 'n'), ('kuna', 'kuna')], [('imayka', 'imayka')], [('asi', 'asi'), ('ku', 'kU'), ('y', 'y'), ('paq', 'paq'), ('naw', 'naw')], [('ni', 'ni'), ('ya', 'yaA'), ('nqa', 'nqa'), ('n', 'n')], [('ka', 'ka'), ('nqa', 'nqa'), ('n', 'n'), ('ta', 'ta'), ('naw', 'naw'), ('pis', 'pis')]]	[['tsay[DET]', 'tsay[PRON]'], ['shumaq[ADJ]'], ['wayi[N]+n[Poss.3]+kuna[Pl]+chaw[Loc]'], ['asi[VInt]+kU[Refl/Mid]+yaA[VPl]+q[Hab]+mi[Asrt]', 'asi[VInt]+kU[Refl/Mid]+yaA[VPl]+q[Agt]+mi[Asrt]', 'asi[VInt]+kU[Refl/Mid]+yaA[VPl]+q[1.Sbj][2.Obj]+mi[Asrt]', 'asi[VInt]+yku[Intens]+yaA[VPl]+q[1.Sbj][2.Obj]+mi[Asrt]', 'asi[VInt]+yku[Intens]+yaA[VPl]+q[Agt]+mi[Asrt]', 'asi[VInt]+yku[Intens]+yaA[VPl]+q[Hab]+mi[Asrt]'], ['mandakuqninkuna[UNK]'], ['imayka[PRON]'], ['asi[VInt]+yku[Intens]+y[Inf]+paq[Ben]+naw[Equ]', 'asi[VInt]+kU[Refl/Mid]+y[Inf]+paq[Ben]+naw[Equ]'], ['ni[VTr]+yaA[VPl]+nqa[Sub](N)+n[Poss.3]'], ['ka[AUX]+nqa[Sub](N)+n[Poss.3]+ta[Obj]+naw[Equ]+pis[Coord]', 'kanqan[ADV]+ta[Obj]+naw[Equ]+pis[Coord]']]
Tsaymi geologu nirqan patronninkunatapis, obrerukunatapis: Kay Kolki hirka allaapa hatun hirkam, falla nishqanmi qatsatsishqa, tsaypitanam rara rahukunapiq, rara quchakunapiq apakuykuna, aluvionkuna shamushqa; tsaymi yapaykuryan mineralta apakushqa Tampu uranpa.	Entonces explicó el geólogo a sus jefes y los obreros: el Kolki Hirka fue una gran montaña, pero lo partió una falla; luego, de los nevados y lagunas altas vinieron grandes aluviones que arrasaron todo y se llevaron repetidas veces el mineral por la quebrada del Tampu.	AKH-359	[['tsay[PRON]+mi[Asrt]'], ['geologu[N]'], ['ni[VTr]+rqa[Pst]+n[3]'], ['patron[N]+n[Poss.3]+kuna[Pl]+ta[Obj]+pis[Coord]'], ['obreru[N]+kuna[Pl]+ta[Obj]+pis[Coord]'], ['kay[DET]'], ['kolki[PROPN]'], ['hirka[PROPN]'], ['allaapa[ADV]'], ['hatun[ADJ]'], ['hirka[N]+mi[Asrt]'], ['falla[N]'], ['ni[VTr]+shqa[Prf](N)+n[Poss.3]+mi[Asrt]'], ['qatsa[VTr]+tsi[Caus]+shqa[Prf](N)'], ['tsay[PRON]+pita[Abl]+na[Acp]+mi[Asrt]'], ['rara[N]'], ['rahu[N]+kuna[Pl]+piq[Abl]'], ['rara[N]'], ['qucha[N]+kuna[Pl]+piq[Abl]'], ['apa[VTr]+kU[Refl/Mid]+y[Inf]+kuna[Pl]'], ['aluvion[N]+kuna[Pl]'], ['shamu[VTr]+shqa[Prf](N)'], ['tsay[PRON]+mi[Asrt]'], ['yapa[VTr]+yku[Intens]+r[Cnv](N)+yan[Dist]'], ['mineral[N]+ta[Obj]'], ['apa[VTr]+kU[Refl/Mid]+shqa[Prf](N)'], ['tampu[PROPN]'], ['ura[N]+n[Poss.3]+pa[Prol]']]	[[('Tsay', 'tsay'), ('mi', 'mi')], [('geologu', 'geologu')], [('ni', 'ni'), ('rqa', 'rqa'), ('n', 'n')], [('patron', 'patron'), ('ni', 0), ('n', 'n'), ('kuna', 'kuna'), ('ta', 'ta'), ('pis', 'pis')], [('obreru', 'obreru'), ('kuna', 'kuna'), ('ta', 'ta'), ('pis', 'pis')], [('Kay', 'kay')], [('Kolki', 'kolki')], [('hirka', 'hirka')], [('allaapa', 'allaapa')], [('hatun', 'hatun')], [('hirka', 'hirka'), ('m', 'mi')], [('falla', 'falla')], [('ni', 'ni'), ('shqa', 'shqa'), ('n', 'n'), ('mi', 'mi')], [('qatsa', 'qatsa'), ('tsi', 'tsi'), ('shqa', 'shqa')], [('tsay', 'tsay'), ('pita', 'pita'), ('na', 'na'), ('m', 'mi')], [('rara', 'rara')], [('rahu', 'rahu'), ('kuna', 'kuna'), ('piq', 'piq')], [('rara', 'rara')], [('qucha', 'qucha'), ('kuna', 'kuna'), ('piq', 'piq')], [('apa', 'apa'), ('ku', 'kU'), ('y', 'y'), ('kuna', 'kuna')], [('aluvion', 'aluvion'), ('kuna', 'kuna')], [('shamu', 'shamu'), ('shqa', 'shqa')], [('tsay', 'tsay'), ('mi', 'mi')], [('yapa', 'yapa'), ('yku', 'yku'), ('r', 'r'), ('yan', 'yan')], [('mineral', 'mineral'), ('ta', 'ta')], [('apa', 'apa'), ('ku', 'kU'), ('shqa', 'shqa')], [('Tampu', 'tampu')], [('ura', 'ura'), ('n', 'n'), ('pa', 'pa')]]	[['tsay[PRON.Dem]+mi[Asrt]', 'tsay[PRON]+mi[Asrt]'], ['geologu[UNK]'], ['ni[VTr]+rqa[Pst]+n[3]'], ['patron[N]+n[Poss.3]+kuna[Pl]+ta[Obj]+pis[Coord]'], ['obreru[N]+kuna[Pl]+ta[Obj]+pis[Coord]'], ['ka[AUX]+y[Inf]', 'kay[DET]', 'kay[PRON]', 'ka[AUX]+y[Imp.2]'], ['kolki[UNK]'], ['hirka[N]'], ['allaapa[ADV]', 'allaapa[N]'], ['hatun[ADJ]'], ['hirka[N]+mi[Asrt]'], ['falla[UNK]'], ['ni[VTr]+shqa[Prf](N)+n[Poss.3]+mi[Asrt]'], ['qatsa[VTr]+tsi[Caus]+shqa[Prf](N)'], ['tsay[PRON]+pita[Abl]+na[Acp]+mi[Asrt]', 'tsay[PRON]+pita[Abl](ADV)+na[Acp]+mi[Asrt]'], ['rara[N]'], ['rahu[N]+kuna[Pl]+piq[Abl]'], ['rara[N]'], ['qucha[N]+kuna[Pl]+piq[Abl]'], ['apa[VTr]+kU[Refl/Mid]+y[Inf]+kuna[Pl]', 'apa[VTr]+kU[Refl/Mid]+yku[Intens]+na[Pot](N)'], ['aluvionkuna[UNK]'], ['shamu[VTr]+shqa[Prf](N)'], ['tsay[PRON.Dem]+mi[Asrt]', 'tsay[PRON]+mi[Asrt]'], ['yapa[VTr]+yku[Intens]+r[Cnv](N)+yan[Dist]'], ['mineral[N]+ta[Obj]'], ['apa[VTr]+kU[Refl/Mid]+shqa[Prf](N)'], ['tampu[UNK]'], ['uraa[N]+n[Poss.3]+pa[Prol]', 'uraa[N]+n[Poss.3]+pa[Man]', 'uraa[N]+n[Poss.3]+pa[Gen]']]
Kananqa llapanpis hamapakuykaayan huchusqa wayikunallachawnam llakikuy kawayta yarpakachar, waray waraantin mana musyakuypaq parlar, punuy chaamunqanyaq.	Ahora todos descansan en las casas desarmadas hablando de los inciertos tiempos que les esperan mientras les llega el sueño.	AKH-393	[['kanan[ADV]+qa[Top]'], ['llapa[PRON]+n[Poss.3]+pis[Coord]'], ['hama[VInt]+paA[Exc]+kU[Refl/Mid]+YkaA[Prog]+yaA[VPl]+n[3]'], ['huchusqa[ADJ]'], ['wayi[N]+kuna[Pl]+lla[Lim]+chaw[Loc]+na[Acp]+mi[Asrt]'], ['llaki[VTr]+yku[Intens]+y[Inf]'], ['kawa[VInt]+y[Inf]+ta[Obj]'], ['yarpa[VTr]+kachaA[Iter]+r[Cnv](N)'], ['waray[N]'], ['waraa[N]+ntin[Tot]'], ['mana[ADV]'], ['musya[VTr]+kU[Refl/Mid]+y[Inf]+paq[Ben]'], ['parla[VInt]+r[Cnv](N)'], ['punuy[N]'], ['chaa[VTr]+mu[Cis]+nqa[Sub](N)+n[Poss.3]+yaq[Ter]']]	[[('Kanan', 'kanan'), ('qa', 'qa')], [('llapa', 'llapa'), ('n', 'n'), ('pis', 'pis')], [('hama', 'hama'), ('pa', 'paA'), ('ku', 'kU'), ('ykaa', 'YkaA'), ('ya', 'yaA'), ('n', 'n')], [('huchusqa', 'huchusqa')], [('wayi', 'wayi'), ('kuna', 'kuna'), ('lla', 'lla'), ('chaw', 'chaw'), ('na', 'na'), ('m', 'mi')], [('llaki', 'llaki'), ('ku', 'yku'), ('y', 'y')], [('kawa', 'kawa'), ('y', 'y'), ('ta', 'ta')], [('yarpa', 'yarpa'), ('kacha', 'kachaA'), ('r', 'r')], [('waray', 'waray')], [('waraa', 'waraa'), ('ntin', 'ntin')], [('mana', 'mana')], [('musya', 'musya'), ('ku', 'kU'), ('y', 'y'), ('paq', 'paq')], [('parla', 'parla'), ('r', 'r')], [('punuy', 'punuy')], [('chaa', 'chaa'), ('mu', 'mu'), ('nqa', 'nqa'), ('n', 'n'), ('yaq', 'yaq')]]	[['ka[AUX]+naA[Prosp]+nqa[Sub](N)', 'ka[AUX]+na[Pot](N)+n[Poss.3]+qa[Top]', 'ka[AUX]+naA[Prosp]+nqa[Fut.3]', 'ka[AUX]+naA[Prosp]+n[3]+qa[Top]', 'kanan[ADV]+qa[Top]'], ['llapa[PRON]+n[Poss.3]+pis[Coord]'], ['hama[VInt]+paA[Exc]+kU[Refl/Mid]+YkaA[Prog]+yaA[VPl]+n[3]'], ['huchusqa[UNK]'], ['wayi[N]+kuna[Pl]+lla[Lim]+chaw[Loc]+na[Acp]+mi[Asrt]'], ['llaki[VTr]+yku[Intens]+y[Imp.2]', 'llaki[VTr]+yku[Intens]+y[Inf]', 'llaki[VTr]+kU[Refl/Mid]+y[Imp.2]', 'llaki[VTr]+kU[Refl/Mid]+y[Inf]'], ['kawa[VInt]+y[Inf]+ta[Obj]'], ['yarpa[VTr]+kachaA[Iter]+r[Cnv](N)'], ['waray[N]'], ['waraantin[UNK]'], ['mana[INTJ]', 'mana[ADV]'], ['musya[VTr]+kU[Refl/Mid]+y[Inf]+paq[Ben]'], ['parla[VInt]+r[Cnv](N)'], ['punu[VInt]+y[Imp.2]', 'punu[VInt]+y[Inf]'], ['chaa[VTr]+mu[Cis]+nqa[Sub](N)+n[Poss.3]+yaq[Ter]']]
—Kananpita witsaypaqa, nuqam kay markachaw pwediq mandakuq kaa —nishpa.	—De hoy en adelante, yo soy el que manda en este pueblo.	ARQA-1996-04	[['kanan[ADV]+pita[Abl]'], ['witsay[N]+pa[Man]+qa[Top]'], ['nuqa[PRON.Prs]+mi[Asrt]'], ['kay[DET]'], ['marka[N]+chaw[Loc]'], ['pwedi[VTr]+q[Agt]'], ['manda[V]+ku[Refl/Mid]+q[Agt]'], ['ka[AUX]+ː[1]'], ['ni[VTr]+shpa[Grd]']]	[[('Kanan', 'kanan'), ('pita', 'pita')], [('witsay', 'witsay'), ('pa', 'pa'), ('qa', 'qa')], [('nuqa', 'nuqa'), ('m', 'mi')], [('kay', 'kay')], [('marka', 'marka'), ('chaw', 'chaw')], [('pwedi', 'pwedi'), ('q', 'q')], [('manda', 'manda'), ('ku', 'ku'), ('q', 'q')], [('ka', 'ka'), ('a', 'ː')], [('ni', 'ni'), ('shpa', 'shpa')]]	[['ka[AUX]+na[Pot](N)+n[Poss.3]+pita[Abl]', 'kanan[ADV]+pita[Abl]'], ['witsa[VTr]+y[Inf]+pa[Prol]+qa[Top]', 'witsay[N]+pa[Prol]+qa[Top]', 'witsa[VTr]+y[Inf]+pa[Gen]+qa[Top]', 'witsay[N]+pa[Man]+qa[Top]', 'witsa[VTr]+y[Inf]+pa[Man]+qa[Top]', 'witsay[N]+pa[Gen]+qa[Top]'], ['nuqa[PRON.Prs]+mi[Asrt]'], ['ka[AUX]+y[Inf]', 'kay[DET]', 'kay[PRON]', 'ka[AUX]+y[Imp.2]'], ['marka[N]+chaw[Loc]'], ['pwedi[VTr]+q[Hab]', 'pwedi[VTr]+q[Agt]', 'pwedi[VTr]+q[1.Sbj][2.Obj]'], ['mandakuq[UNK]'], ['ka[AUX]+ː[1]'], ['nish[ADV]+pa[Man]', 'ni[VTr]+shpa[Grd]', 'nish[ADV]+pa[Gen]', 'nish[ADV]+pa[Prol]']]
Tsaypitanash wayinman aywakunaq kastankunapita despidikuqnin y testamentukuqnin.	Después fue a despedirse de su familia y hacer su testamento.	ARQA-1996-50	[['tsay[PRON]+pita[Abl]+na[Acp]+shi[Nfh]'], ['wayi[N]+n[Poss.3]+man[Dat]'], ['aywa[VTr]+kU[Refl/Mid]+naq[Rpst]'], ['kasta[N]+n[Poss.3]+kuna[Pl]+pita[Abl]'], ['despidi[V]+kU[Refl/Mid]+q[Agt]+n[Poss.3]'], ['y[CCONJ]'], ['testamentu[N]+ku[Refl/Mid]+q[Agt]+n[Poss.3]']]	[[('Tsay', 'tsay'), ('pita', 'pita'), ('na', 'na'), ('sh', 'shi')], [('wayi', 'wayi'), ('n', 'n'), ('man', 'man')], [('aywa', 'aywa'), ('ku', 'kU'), ('naq', 'naq')], [('kasta', 'kasta'), ('n', 'n'), ('kuna', 'kuna'), ('pita', 'pita')], [('despidi', 'despidi'), ('ku', 'kU'), ('q', 'q'), ('ni', 0), ('n', 'n')], [('y', 'y')], [('testamentu', 'testamentu'), ('ku', 'ku'), ('q', 'q'), ('ni', 0), ('n', 'n')]]	[['tsay[PRON]+pita[Abl](ADV)+na[Acp]+shi[Nfh]', 'tsay[PRON]+pita[Abl]+na[Acp]+shi[Nfh]'], ['wayi[N]+n[Poss.3]+man[Dat]'], ['aywa[VTr]+kU[Refl/Mid]+naq[Rpst]'], ['kasta[N]+n[Poss.3]+kuna[Pl]+pita[Abl]'], ['despidi[V]+kU[Refl/Mid]+q[Agt]+n[Poss.3]', 'despidi[V]+yku[Intens]+q[Agt]+n[Poss.3]'], ['y[CCONJ]'], ['testamentukuqnin[UNK]']]
Tsaynawshi kay santukunaqa chaariyanaq Putsun Quchaman, kay huti shamun “ashmapa putsunyuq quchapita”. 	Así llegaron los santos a la orilla de una laguna que se llamaba Sarhui Qucha, que significa “laguna con restos de animales”.	CP-18-011	[['tsay[PRON]+naw[Equ]+shi[Nfh]'], ['kay[DET]'], ['santu[N]+kuna[Pl]+qa[Top]'], ['chaa[VTr]+rI[Pct]+yaA[VPl]+naq[Rpst]'], ['putsun[PROPN]'], ['qucha[PROPN]+man[Dat]'], ['kay[DET]'], ['huti[N]'], ['shamu[VTr]+n[3]'], ['ashma[N]+pa[Gen]'], ['putsu[N]+n[Poss.3]+yuq[Orn]'], ['qucha[N]+pita[Abl]']]	[[('Tsay', 'tsay'), ('naw', 'naw'), ('shi', 'shi')], [('kay', 'kay')], [('santu', 'santu'), ('kuna', 'kuna'), ('qa', 'qa')], [('chaa', 'chaa'), ('ri', 'rI'), ('ya', 'yaA'), ('naq', 'naq')], [('Putsun', 'putsun')], [('Qucha', 'qucha'), ('man', 'man')], [('kay', 'kay')], [('huti', 'huti')], [('shamu', 'shamu'), ('n', 'n')], [('ashma', 'ashma'), ('pa', 'pa')], [('putsu', 'putsu'), ('n', 'n'), ('yuq', 'yuq')], [('qucha', 'qucha'), ('pita', 'pita')]]	[['tsaynaw[ADV]+shi[Nfh]', 'tsay[PRON]+naw[Equ]+shi[Nfh]'], ['ka[AUX]+y[Inf]', 'kay[DET]', 'kay[PRON]', 'ka[AUX]+y[Imp.2]'], ['santu[N]+kuna[Pl]+qa[Top]'], ['chaa[VTr]+rI[Pct]+yaA[VPl]+naq[Rpst]'], ['putsu[N]+n[Poss.3]', 'putsu[VInt]+n[3]'], ['qucha[N]+man[Dat]'], ['ka[AUX]+y[Inf]', 'kay[DET]', 'kay[PRON]', 'ka[AUX]+y[Imp.2]'], ['huti[N]'], ['shamu[VTr]+n[3]'], ['ashma[N]+pa[Gen]', 'ashma[N]+pa[Prol]', 'ashma[N]+pa[Man]'], ['putsunyuq[UNK]'], ['qucha[N]+pita[Abl]']]
Nunaqa ayqir aywakunaq, Kura Hirkachaw chakran rurayta munanaqnatsu.	El campesino salió corriendo asustado y no quiso seguir haciendo sus chacras en Cura Urqu.	CP-19-005	[['nuna[N]+qa[Top]'], ['ayqi[VInt]+r[Cnv](N)'], ['aywa[VTr]+kU[Refl/Mid]+naq[Rpst]'], ['kura[PROPN]'], ['hirka[PROPN]+chaw[Loc]'], ['chakra[N]+n[Poss.3]'], ['rura[VTr]+y[Inf]+ta[Obj]'], ['muna[VTr]+naq[Rpst]+na[Acp]+tsu[Neg]']]	[[('Nuna', 'nuna'), ('qa', 'qa')], [('ayqi', 'ayqi'), ('r', 'r')], [('aywa', 'aywa'), ('ku', 'kU'), ('naq', 'naq')], [('Kura', 'kura')], [('Hirka', 'hirka'), ('chaw', 'chaw')], [('chakra', 'chakra'), ('n', 'n')], [('rura', 'rura'), ('y', 'y'), ('ta', 'ta')], [('muna', 'muna'), ('naq', 'naq'), ('na', 'na'), ('tsu', 'tsu')]]	[['nuna[N]+qa[Top]'], ['ayqi[VInt]+r[Cnv](N)'], ['aywa[VTr]+kU[Refl/Mid]+naq[Rpst]'], ['kura[N]'], ['hirka[N]+chaw[Loc]'], ['chakra[N]+n[Poss.3]'], ['rura[VTr]+y[Inf]+ta[Obj]'], ['muna[VTr]+naA[Prosp]+q[Hab]+na[Acp]+tsu[Neg]', 'muna[VTr]+naA[Prosp]+q[Agt]+na[Acp]+tsu[Neg]', 'muna[VTr]+naq[Rpst]+na[Acp]+tsu[Neg]', 'muna[VTr]+naA[Prosp]+q[1.Sbj][2.Obj]+na[Acp]+tsu[Neg]']]
Tsaynaw kaptinshi hichakacharkuq lichita, kiisutapis.	Tanto ganado tenía que desperdiciaba la leche y los quesos.	CP-19-015	[['tsay[PRON]+naw[Equ]'], ['ka[AUX]+pti[Cnv](N)+n[Poss.3]+shi[Nfh]'], ['hicha[VTr]+kachaA[Iter]+rku[Edu]+q[Hab]'], ['lichi[N]+ta[Obj]'], ['kiisu[N]+ta[Obj]+pis[Coord]']]	[[('Tsay', 'tsay'), ('naw', 'naw')], [('ka', 'ka'), ('pti', 'pti'), ('n', 'n'), ('shi', 'shi')], [('hicha', 'hicha'), ('kacha', 'kachaA'), ('rku', 'rku'), ('q', 'q')], [('lichi', 'lichi'), ('ta', 'ta')], [('kiisu', 'kiisu'), ('ta', 'ta'), ('pis', 'pis')]]	[['tsaynaw[ADV]', 'tsay[PRON]+naw[Equ]'], ['ka[AUX]+pti[Cnv](N)+n[Poss.3]+shi[Nfh]'], ['hicha[VTr]+kachaA[Iter]+rku[Edu]+q[Agt]', 'hicha[VTr]+kachaA[Iter]+rku[Edu]+q[1.Sbj][2.Obj]', 'hicha[VTr]+kachaA[Iter]+rku[Edu]+q[Hab]'], ['lichi[N]+ta[Obj]'], ['kiisutapis[UNK]']]
—Aku —niyaqshi waynakuna—aku siriinakunapa musyayninta yachakamushun.	—Vamos —decían los muchachos—vamos a aprender los secretos de las sirenas.	CP-20-002	[['aku[INTJ]'], ['ni[VTr]+yaA[VPl]+q[Hab]+shi[Nfh]'], ['wayna[N]+kuna[Pl]'], ['aku[INTJ]'], ['siriina[N]+kuna[Pl]+pa[Gen]'], ['musya[VTr]+y[Inf]+n[Poss.3]+ta[Obj]'], ['yacha[VTr]+kU[Refl/Mid]+mu[Cis]+shun[Imp.1Pl.Inc]']]	[[('Aku', 'aku')], [('ni', 'ni'), ('ya', 'yaA'), ('q', 'q'), ('shi', 'shi')], [('wayna', 'wayna'), ('kuna', 'kuna')], [('aku', 'aku')], [('siriina', 'siriina'), ('kuna', 'kuna'), ('pa', 'pa')], [('musya', 'musya'), ('y', 'y'), ('ni', 0), ('n', 'n'), ('ta', 'ta')], [('yacha', 'yacha'), ('ka', 'kU'), ('mu', 'mu'), ('shun', 'shun')]]	[['aku[N]', 'aku[INTJ]'], ['ni[VTr]+yaA[VPl]+q[Agt]+shi[Nfh]', 'ni[VTr]+yaA[VPl]+q[Hab]+shi[Nfh]', 'ni[VTr]+yaA[VPl]+q[1.Sbj][2.Obj]+shi[Nfh]'], ['waynaku[VInt]+na[Pot](N)+ː[Poss.1Sg]+ku[Inter]', 'waynaku[VInt]+naA[Prosp]+ː[1]+ku[Inter]'], ['aku[N]', 'aku[INTJ]'], ['siriina[N]+kuna[Pl]+pa[Gen]', 'siriina[N]+kuna[Pl]+pa[Prol]', 'siriina[N]+kuna[Pl]+pa[Man]'], ['musya[VTr]+y[Inf]+n[Poss.3]+ta[Obj]'], ['yacha[VTr]+kaA[Pass]+mu[Cis]+shun[Imp.1Pl.Inc]', 'yacha[VInt]+kU[Refl/Mid]+mu[Cis]+shun[Imp.1Pl.Inc]', 'yacha[VTr]+kU[Refl/Mid]+mu[Cis]+shun[Imp.1Pl.Inc]', 'yacha[VInt]+kaA[Pass]+mu[Cis]+shun[Imp.1Pl.Inc]', 'yacha[VTr]+kU[Refl/Mid]+mu[Cis]+shun[Fut][1Pl.Inc]', 'yacha[VInt]+kaA[Pass]+mu[Cis]+shun[Fut][1Pl.Inc]', 'yacha[VInt]+kU[Refl/Mid]+mu[Cis]+shun[Fut][1Pl.Inc]', 'yacha[VTr]+kaA[Pass]+mu[Cis]+shun[Fut][1Pl.Inc]']]
I estrictamente uryayaanaq huqta hunaq, semana enteru, kada huqta killachaw.	Y trabajaron estrictamente seis días, e.d., una semana entera en cada seis meses.	CRH-01-005	[['i[CCONJ]'], ['estrictamente[ADV]'], ['urya[VTr]+yaA[VPl]+naq[Rpst]'], ['huqta[NUM.Card]'], ['hunaq[N]'], ['semana[N]'], ['enteru[ADJ]'], ['kada[DET]'], ['huqta[NUM.Card]'], ['killa[N]+chaw[Loc]']]	[[('I', 'i')], [('estrictamente', 'estrictamente')], [('urya', 'urya'), ('yaa', 'yaA'), ('naq', 'naq')], [('huqta', 'huqta')], [('hunaq', 'hunaq')], [('semana', 'semana')], [('enteru', 'enteru')], [('kada', 'kada')], [('huqta', 'huqta')], [('killa', 'killa'), ('chaw', 'chaw')]]	[['i[CCONJ]'], ['estrictamente[UNK]'], ['urya[N]+yaA[Transf](VInt)+naq[Rpst]', 'urya[N]+yaA[Transf](VInt)+naA[Prosp]+q[1.Sbj][2.Obj]', 'urya[N]+yaA[Transf](VInt)+naA[Prosp]+q[Hab]', 'urya[N]+yaA[Transf](VInt)+naA[Prosp]+q[Agt]', 'urya[VTr]+yaA[VPl]+naq[Rpst]'], ['huqta[NUM.Card]'], ['hunaq[N]'], ['semana[N]'], ['enteru[ADJ]'], ['kada[DET]'], ['huqta[NUM.Card]'], ['killa[N]+chaw[Loc]']]
